Area Code,Area Name,Owned: Owns outright,Owned: Owns with a mortgage or loan,Shared ownership: Shared ownership,Social rented: Rents from council or Local Authority,Social rented: Other social rented,Private rented: Private landlord or letting agency,Private rented: Other private rented,Lives rent free
E06000031,Peterborough,32646,29784,102640,72775,52304,56543,59934,111590
E06000033,Southend-on-Sea,20075,84563,96331,70598,20609,27341,73510,14782
E06000034,Thurrock,88685,18053,99401,63816,46887,15621,14119,38670
E10000003,Cambridgeshire,84806,71065,11470,44658,58256,99625,107720,50344
E07000008,Cambridge,2405,71344,84009,76358,4643,61648,34878,73194
E07000009,East Cambridgeshire,1464,25348,38458,18066,39136,32598,46388,24380
E07000010,Fenland,93853,47701,43392,38186,12408,57198,111485,46872
E07000011,Huntingdonshire,46039,14212,79771,1359,38220,43756,26335,10417
E07000012,South Cambridgeshire,95228,61806,67902,111258,15969,23945,5430,29336
E10000012,Essex,71893,42386,34703,71098,44927,13875,10348,6037
E07000066,Basildon,84398,119781,77491,88907,37211,11962,72116,7456
E07000067,Braintree,24176,10537,18118,34322,60990,95954,69324,7530
E07000068,Brentwood,35269,13837,68617,50614,25284,45704,83788,64062
E07000069,Castle Point,34876,140579,109774,53604,12678,19682,55402,115126
E07000070,Chelmsford,2353,42952,61821,85658,16584,37426,26147,46596
E07000071,Colchester,56764,65048,157,70654,56902,33916,66337,3429
E07000072,Epping Forest,14770,106956,25029,28113,16975,99730,60424,1068
E07000073,Harlow,65095,10307,74709,117242,17872,76434,32117,70836
E07000074,Maldon,118001,86391,42980,81528,44342,9215,55048,38418
E07000075,Rochford,22254,96579,78095,38852,131599,24259,55087,13408
E07000076,Tendring,25781,15553,44764,28023,95679,47864,99555,132928
E07000077,Uttlesford,66617,48391,10634,44488,109651,60977,39726,36148
E10000015,Hertfordshire,25743,14347,34182,93757,28633,40084,94335,66667
E07000095,Broxbourne,27882,3330,8888,107294,68023,22800,110461,49063
E07000096,Dacorum,25027,40591,50845,49950,72834,111718,87301,130124
E07000242,East Hertfordshire,85403,79547,15952,8176,39087,47247,113224,39566
E07000098,Hertsmere,8456,3117,74968,21188,13562,9480,39813,9973
E07000099,North Hertfordshire,76396,157543,11126,6809,64838,75176,39350,5597
E07000240,St Albans,9927,22817,53532,33302,32926,67649,86850,112961
E07000243,Stevenage,37792,58496,31096,19871,41739,102943,82675,51769
E07000102,Three Rivers,130854,124000,89938,19434,43096,26561,44714,33684
E07000103,Watford,122282,865,46652,91322,18021,17120,9561,1972
E07000241,Welwyn Hatfield,57045,73230,12326,120937,25021,5426,22186,7487
E10000020,Norfolk,72360,13697,39535,77682,8379,20068,74491,54695
E07000143,Breckland,31459,25381,4940,83717,95345,53332,107970,68053
E07000144,Broadland,32183,20769,67628,17920,41538,26680,66286,35050
E07000145,Great Yarmouth,111014,100771,57344,23576,71448,47305,59287,28512
E07000146,King's Lynn and West Norfolk,65978,96074,25546,48710,83491,55107,123081,37324
E07000147,North Norfolk,51304,10232,19812,18532,46774,42215,27129,79075
E07000148,Norwich,52057,41110,60951,117629,41048,19379,85626,5506
E07000149,South Norfolk,47304,98630,11268,25589,12270,48272,2189,29828
E10000029,Suffolk,106783,18210,46526,6893,40433,37790,102048,1443
E07000200,Babergh,58069,49826,37194,86262,28333,107869,75340,69080
E07000244,East Suffolk,37797,84385,47929,23003,121908,33137,44188,76062
E07000202,Ipswich,84180,40165,10665,39441,27795,25137,84445,14864
E07000203,Mid Suffolk,128442,71958,25998,105058,104940,133147,5032,92889
E07000245,West Suffolk,71333,13791,81439,82744,31625,56478,73078,94201
E12000007,LONDON,8313,9495,10214,32816,1163,40691,33900,79872
E13000001,Inner London,46098,15018,74559,90535,55505,46866,5659,99261
E09000007,Camden,10019,56986,41767,103501,73221,6812,16221,105512
E09000001,City of London,43276,67412,21783,1087,108239,132942,59867,103912
E09000012,Hackney,110590,51147,109917,70690,38090,18391,31068,56311
E09000013,Hammersmith and Fulham,35805,16378,86953,64938,149490,88573,15694,42026
E09000014,Haringey,10148,111094,38728,84833,10563,120503,116207,28327
E09000019,Islington,29545,13022,47339,68393,34359,8685,50053,46734
E09000020,Kensington and Chelsea,60945,48061,54546,41861,77902,5330,89589,55668
E09000022,Lambeth,27564,3909,79190,32272,14491,70799,9269,95032
E09000023,Lewisham,41022,49403,41659,87392,1194,69895,33134,65426
E09000025,Newham,8106,62547,120929,24998,142075,3276,62667,61166
E09000028,Southwark,71453,91151,13436,67766,17964,6306,3629,79602
E09000030,Tower Hamlets,108726,36382,910,10915,59108,45690,25358,28134
E09000032,Wandsworth,23614,28737,1200,40485,18971,51635,89279,40089
E09000033,Westminster,56088,24567,110478,27195,63942,44920,15859,58704
E13000002,Outer London,24101,135337,127551,10945,28395,86380,35927,25949
E09000002,Barking and Dagenham,103093,31376,33116,112369,59384,799,101575,51079
E09000003,Barnet,3430,46055,30983,60896,41293,107279,97115,84453
E09000004,Bexley,106231,81242,47880,85358,49573,111288,37914,25758
E09000005,Brent,81743,23070,46656,52749,17131,73490,60221,97851
E09000006,Bromley,43518,85689,122462,55270,24570,48462,64932,48676
E09000008,Croydon,34539,128667,122353,33944,79556,92167,60865,59140
E09000009,Ealing,44336,88619,53739,89172,128576,12127,45934,26481
E09000010,Enfield,105089,33635,43507,27365,21967,50008,47337,58352
E09000011,Greenwich,141701,1139,76184,47403,91472,27935,48866,146756
E09000015,Harrow,46155,71696,79414,14852,93412,20397,68959,72802
E09000016,Havering,6489,82140,45059,71484,71312,6052,55386,52331
E09000017,Hillingdon,40589,78055,13632,62149,104918,143416,7416,110679
E09000018,Hounslow,28740,89961,41458,86913,80499,26738,43003,64061
E09000021,Kingston upon Thames,87120,30698,50196,101513,112185,67925,128699,31996
E09000024,Merton,111822,4774,2228,18919,11093,18896,74464,38515
E09000026,Redbridge,5033,52406,50341,90803,110852,33174,63879,44060
E09000027,Richmond upon Thames,30468,77513,116227,22228,76858,38899,24785,27482
E09000029,Sutton,2483,105725,62662,34789,78701,75336,25967,55902
E09000031,Waltham Forest,65368,60589,54096,47547,26830,144621,123111,11805
E12000008,SOUTH EAST,135643,46051,18857,109656,73163,13147,27283,12992
E06000036,Bracknell Forest,94215,36160,20099,104706,60436,49104,76262,99731
E06000043,Brighton and Hove,104674,97032,40539,3382,69475,47659,90412,83615
E06000046,Isle of Wight,117422,42711,60311,34171,10526,114808,12091,12450
E06000035,Medway,135628,14660,56683,109205,107520,5448,70243,79928
E06000042,Milton Keynes,21038,48691,17893,53648,67678,116782,9576,66957
E06000044,Portsmouth,46434,50022,21246,9458,31829,47693,39107,10446
E06000038,Reading,94593,62354,26613,44994,54410,71873,51362,71813
E06000039,Slough,32367,45306,106577,62647,35464,64662,124319,112098
E06000045,Southampton,120617,27811,63842,140994,29969,41728,62139,82395
E06000037,West Berkshire,9155,7577,51217,133161,35537,58923,111000,14019
E06000040,Windsor and Maidenhead,9746,8714,23746,97321,38046,1573,27237,69838
E06000041,Wokingham,57041,389,39690,13617,21638,103486,20966,17349
E06000060,Buckinghamshire,48453,83807,26895,61590,114017,59783,9660,36828
E10000011,East Sussex,11584,29645,25085,35337,66097,53600,106593,111701
E07000061,Eastbourne,105371,127843,152958,46535,117223,145542,31675,132751
E07000062,Hastings,55406,39376,24996,73191,72735,101269,30832,64708
E07000063,Lewes,2339,87278,96470,29121,56086,40113,134479,53382
E07000064,Rother,106420,77918,79982,57621,111267,81674,57282,65744
E07000065,Wealden,65597,68887,126845,35994,16937,108037,91245,128799
E10000014,Hampshire,39701,37820,26028,81199,81984,7097,3331,13379
E07000084,Basingstoke and Deane,10272,9067,97529,65757,12073,100142,92130,89916
E07000085,East Hampshire,61461,33295,75591,2027,63425,23667,55753,2213
E07000086,Eastleigh,1280,47406,49044,7493,85628,123572,15424,113330
E07000087,Fareham,34648,88553,17979,78497,100223,21522,51125,43516
E07000088,Gosport,48757,79051,146816,56055,58937,95386,91582,38794
E07000089,Hart,57742,45869,90440,32765,28301,42207,21510,39094
E07000090,Havant,11428,3212,122991,66642,71772,1539,71336,98624
E07000091,New Forest,88567,84256,65351,113382,118065,82374,103859,85813
E07000092,Rushmoor,110928,98064,69444,114319,115088,72917,92443,33709
E07000093,Test Valley,98981,27143,80382,85078,33915,64263,155,46216
E07000094,Winchester,23123,16216,15164,27201,50967,61819,54895,20858
E10000016,Kent,53853,11454,50258,12990,58330,42507,84770,40181
E07000105,Ashford,92106,46227,9562,65264,101722,134042,15200,101252
E07000106,Canterbury,49444,58057,2921,46143,51580,75823,31508,5280
E07000107,Dartford,77008,91126,62407,22227,94875,32996,20393,36190
E07000108,Dover,37256,122713,29143,5084,56953,75276,4841,5907
E07000109,Gravesham,111192,58108,528,65293,55347,2129,3594,116575
E07000110,Maidstone,27813,126756,18831,71428,45433,23055,104822,18137
E07000111,Sevenoaks,73405,37672,124596,34295,87500,72553,23779,55391
E07000112,Folkestone and Hythe,48525,26513,57291,23849,16481,15219,8912,23145
E07000113,Swale,40488,25233,4550,48194,120465,80290,89195,57070
E07000114,Thanet,71038,46899,507,63923,35594,41466,44834,62188
E07000115,Tonbridge and Malling,69313,96585,29632,14974,86168,43789,4729,18903
E07000116,Tunbridge Wells,88687,80376,96764,36786,81765,22867,14106,28930
E10000025,Oxfordshire,31991,98108,46005,24702,100578,43438,23809,98600
E07000177,Cherwell,47259,82292,92367,59713,61259,67501,103022,14537
E07000178,Oxford,70373,93193,33648,17336,27049,5380,94205,33281
E07000179,South Oxfordshire,91696,58131,141906,14509,38510,63633,28750,99449
E07000180,Vale of White Horse,82920,17651,82502,72820,91943,44803,15915,82852
E07000181,West Oxfordshire,66237,142734,16431,48149,134353,121825,80570,83011
E10000030,Surrey,39084,19189,7976,41507,62820,100085,29043,64621
E07000207,Elmbridge,49951,38094,31810,94014,89820,46145,84147,60088
E07000208,Epsom and Ewell,79836,62649,22902,52403,59168,54276,25938,58362
E07000209,Guildford,61698,28279,99096,84665,91567,79389,82750,47896
E07000210,Mole Valley,102029,59700,17090,75395,89651,15820,17887,94153
E07000211,Reigate and Banstead,73290,59095,60105,1031,13088,19184,44108,67140
E07000212,Runnymede,57998,10871,8381,60627,25502,30255,79212,146871
E07000213,Spelthorne,18370,72263,18834,45945,116889,128267,95088,24691
E07000214,Surrey Heath,11681,63460,85625,78422,19063,14320,12206,96638
E07000215,Tandridge,26301,47593,88573,101,65646,23595,27523,132352
E07000216,Waverley,72095,19441,64106,75790,82379,56250,84536,11702
E07000217,Woking,70938,137537,89939,41676,54933,4281,45027,51690
E10000032,West Sussex,27578,73678,122565,55534,15281,90954,52859,23609
E07000223,Adur,85730,28748,10414,94057,89992,45722,1775,63312
E07000224,Arun,22847,17749,16530,49473,17474,29248,46598,10265
E07000225,Chichester,55481,84971,58345,12337,3546,18385,1308,4975
E07000226,Crawley,45670,42280,103776,56545,96125,36278,3180,12632
E07000227,Horsham,49666,48777,64044,34699,6469,26831,26259,78686
E07000228,Mid Sussex,54752,28526,84694,77812,93294,80693,40006,43902
E07000229,Worthing,59867,57866,62412,116063,45996,33199,48685,34413
E12000009,SOUTH WEST,25517,3585,73804,65762,944,26332,62069,130556
E06000022,Bath and North East Somerset,53066,8742,6359,54276,10470,131340,22524,49318
E06000058,"Bournemouth, Christchurch and Poole",2215,49159,11430,52871,74792,32727,10515,66231
E06000023,"Bristol, City of",80132,70193,133188,96295,29522,81170,57870,40653
E06000052,Cornwall,10858,126544,43736,37960,40686,63381,86899,29114
E06000053,Isles of Scilly,49844,23793,21870,13640,121377,104630,1903,3197
E06000059,Dorset,66326,42104,148197,51705,12847,25810,116706,65525
E06000024,North Somerset,10778,120938,79017,20786,53730,97495,64456,73799
E06000026,Plymouth,77438,25448,70788,35274,3964,21409,41003,30637
E06000025,South Gloucestershire,116981,27901,83256,91938,61178,11689,53683,5829
E06000030,Swindon,26393,80245,100969,5870,93511,8641,14214,52919
E06000027,Torbay,45108,69568,72118,51542,10355,105755,59653,51960
E06000054,Wiltshire,40035,44219,16021,57916,78016,40562,97115,34977
E10000008,Devon,43888,22024,43564,59984,88818,9138,46651,5159
E07000040,East Devon,35703,68917,101417,56574,97054,34929,73150,34259
E07000041,Exeter,99392,89985,53529,93361,99486,79221,3980,19831
E07000042,Mid Devon,44416,181,1876,7528,83029,38983,38781,11211
E07000043,North Devon,48557,38519,16725,55977,108042,74784,47618,7422
E07000044,South Hams,71405,36612,126082,26909,41909,77082,85986,60992
E07000045,Teignbridge,120911,111970,9315,108741,7282,130223,41710,45057
E07000046,Torridge,10344,43181,70293,91174,100846,94157,112626,65465
E07000047,West Devon,15236,107282,83726,12346,34069,77779,22151,34282
E10000013,Gloucestershire,9284,99495,46512,63346,106862,54913,66959,78243
E07000078,Cheltenham,34965,134367,69391,25258,3772,108190,56579,86693
E07000079,Cotswold,92025,16028,83289,14297,99661,1704,44026,31532
E07000080,Forest of Dean,80595,34900,34709,53825,71790,82690,55331,51783
E07000081,Gloucester,126673,53689,22872,95477,18651,57775,78872,57253
E07000082,Stroud,8441,59380,133543,113109,105236,86554,11756,54639
E07000083,Tewkesbury,33253,11285,39862,38435,62318,70814,1599,50454
E10000027,Somerset,39035,36905,98687,21489,112472,11086,55873,67445
E07000187,Mendip,7893,404,42250,114165,148890,104600,19261,9823
E07000188,Sedgemoor,41005,133567,36808,37226,33615,67971,6309,61298
E07000246,Somerset West and Taunton,11477,14496,24510,1899,43971,16726,135124,651
E07000189,South Somerset,24751,88234,39957,23010,44651,35252,101205,37924
W92000004,WALES,45698,43436,43887,119123,94501,3373,38278,19612
W06000001,Isle of Anglesey,18896,29012,124051,24826,55307,79964,64142,28214
W06000002,Gwynedd,34531,118665,67243,83063,8191,63366,3425,59461
W06000003,Conwy,53437,103659,41895,66344,86949,52207,115765,74625
W06000004,Denbighshire,57900,56426,23154,53866,115676,72819,28269,97024
W06000005,Flintshire,26325,81173,48623,46173,10682,76796,51416,40706
W06000006,Wrexham,42244,17255,21117,56880,10189,51196,11103,76414
W06000023,Powys,56211,61864,91469,61979,78738,23179,84466,26934
W06000008,Ceredigion,68054,12793,46740,63354,43735,76778,126049,12163
W06000009,Pembrokeshire,87404,29446,121792,74652,125943,47644,11009,31208
W06000010,Carmarthenshire,48949,12740,69121,155840,4264,38405,109660,101589
W06000011,Swansea,23198,143760,24834,3344,72063,95257,32629,45906
W06000012,Neath Port Talbot,136554,57770,27277,46351,12216,80907,15129,52791
W06000013,Bridgend,47894,73516,52514,110884,15278,75882,37785,88415
W06000014,Vale of Glamorgan,8603,28931,63590,34171,83258,9906,94792,13407
W06000015,Cardiff,16016,69303,93281,44709,112849,62258,35078,137056
W06000016,Rhondda Cynon Taf,7064,41428,131062,73371,81223,28105,28909,136700
W06000024,Merthyr Tydfil,64095,15520,21202,60172,32935,14299,110267,61630
W06000018,Caerphilly,74209,118584,107937,7978,6195,50835,64919,8768
W06000019,Blaenau Gwent,75219,15515,72873,52765,61271,38228,55423,66863
W06000020,Torfaen,39125,69632,23883,26898,28554,32829,33689,3568
W06000021,Monmouthshire,61536,78288,36053,124745,47673,16433,19252,46681
W06000022,Newport,33436,31706,8168,110911,97748,5737,90320,17692
