Area Code,Area Name,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
E08000011,Knowsley,9712,87971,76451,6785,36060,55552,50098,22354,63181
E08000012,Liverpool,77387,9687,34343,71815,53241,62304,4006,49951,95406
E08000014,Sefton,73426,36695,79488,54626,64161,72405,69114,24826,74035
E08000013,St. Helens,50681,38373,11730,57265,15934,72660,9917,81370,83634
E08000015,Wirral,54354,20542,64129,35406,38931,91137,51346,34330,19630
E12000003,YORKSHIRE AND THE HUMBER,88090,46363,89210,64236,49020,38932,10044,74980,2506
E06000011,East Riding of Yorkshire,83719,11365,52255,51107,11689,23011,16673,18325,43699
E06000010,"Kingston upon Hull, City of",84736,56491,135,31700,11692,50873,40459,34991,93048
E06000012,North East Lincolnshire,32919,43502,3084,39009,21738,69682,9615,52465,22582
E06000013,North Lincolnshire,6079,12819,19144,65201,62193,82719,3476,71306,62152
E06000014,York,58400,23412,24381,58311,5489,23677,66179,75524,15709
E10000023,North Yorkshire,60491,57851,33808,51845,94935,85134,91952,59137,87580
E07000163,Craven,83702,30780,38517,70361,30236,729,13841,5827,8017
E07000164,Hambleton,48543,89134,74879,29441,85355,97278,93482,29669,17064
E07000165,Harrogate,30558,83783,58851,78830,33075,11833,49419,58884,51877
E07000166,Richmondshire,22622,54201,19905,74356,49895,84540,56315,37842,35763
E07000167,Ryedale,85713,74807,82415,26716,72017,64516,1146,74779,15014
E07000168,Scarborough,73439,20526,75864,67192,32894,97692,45834,87032,30530
E07000169,Selby,26509,55407,45498,58208,49036,31342,4284,10541,11359
E11000003,South Yorkshire (Met County),29234,19304,83419,94822,57113,37252,44718,98026,36558
E08000016,Barnsley,38517,80289,90210,35530,66451,39248,29785,81667,48026
E08000017,Doncaster,16153,64435,92949,65747,8290,58611,63824,23097,45771
E08000018,Rotherham,93540,66206,57846,65941,77878,86723,97512,91203,63261
E08000019,Sheffield,92842,2878,1988,17036,28764,4994,71702,35721,18341
E11000006,West Yorkshire (Met County),15901,34652,42238,54818,10110,25929,91341,93826,88649
E08000032,Bradford,72784,2505,58764,25856,11166,2078,87588,39678,78464
E08000033,Calderdale,91226,39335,96896,39041,94920,89942,36013,41073,33679
E08000034,Kirklees,22715,56579,96690,68991,27505,93342,19130,80500,29725
E08000035,Leeds,73886,18209,89904,544,22217,26062,5285,16678,33500
E08000036,Wakefield,57501,32254,76824,61380,49157,6817,60337,22094,36705
E12000004,EAST MIDLANDS,43505,50693,78754,81537,6418,10202,44967,45757,69645
E06000015,Derby,51011,32646,71412,58989,7155,77072,29924,77776,20603
E06000016,Leicester,99668,25064,11658,21384,37157,42573,43862,29889,5618
E06000061,North Northamptonshire,31191,53885,61033,53574,45567,3216,68018,15558,91623
E06000018,Nottingham,12978,56217,41535,70241,50565,72910,65523,83406,71919
E06000017,Rutland,98148,30000,70886,17838,66980,10307,63739,40014,27225
E06000062,West Northamptonshire,61661,18901,68876,76438,25718,19417,85135,27790,97708
E10000007,Derbyshire,29561,33619,86490,26957,70830,75437,44807,44242,79983
E07000032,Amber Valley,3437,92614,7387,5230,47529,32163,239,91719,53654
E07000033,Bolsover,71046,61429,68801,48121,64112,56102,40478,72492,19670
E07000034,Chesterfield,19685,29110,9185,94947,65657,59705,90540,30949,84319
E07000035,Derbyshire Dales,14018,3119,35234,28499,86518,55770,58100,86011,1746
E07000036,Erewash,16480,97514,20155,69944,93985,18071,2512,95244,16815
E07000037,High Peak,27509,21303,42000,77531,21340,45504,67342,30214,14439
E07000038,North East Derbyshire,51711,55831,97518,41688,57970,39276,30216,32560,10826
E07000039,South Derbyshire,26429,89169,93546,4414,31646,57410,13590,26464,74667
E10000018,Leicestershire,78266,37011,88330,20384,20055,35652,44267,87154,39097
E07000129,Blaby,78880,64138,52286,14187,15891,82918,53632,35653,17908
E07000130,Charnwood,97738,65595,44389,57387,6624,6123,10681,36895,19149
E07000131,Harborough,580,64299,54107,46561,94136,117,24810,59762,48733
E07000132,Hinckley and Bosworth,34609,56530,22453,20664,52284,96426,1477,17718,99084
E07000133,Melton,54370,68492,83745,74252,16747,34024,19746,54965,67648
E07000134,North West Leicestershire,94065,28266,84830,75114,37040,26229,20893,39954,17956
E07000135,Oadby and Wigston,22890,91943,89886,85838,36085,31290,81057,69538,38194
E10000019,Lincolnshire,91042,39697,53888,39768,98353,88286,51218,41447,8975
E07000136,Boston,96690,16426,9542,34220,14142,56628,28009,29540,8371
E07000137,East Lindsey,86348,57995,25049,95353,35710,47463,24768,3976,73032
E07000138,Lincoln,53432,6081,18279,91489,29284,74038,66376,4033,90780
E07000139,North Kesteven,53672,39053,73101,43316,8331,36111,5966,1458,59408
E07000140,South Holland,65692,14194,28112,4329,16038,70720,82309,82260,18248
E07000141,South Kesteven,93673,23507,14784,19297,36124,62026,73235,65140,61942
E07000142,West Lindsey,9443,89853,56076,95508,3852,53842,39212,80629,35368
E10000024,Nottinghamshire,36576,65815,48323,65627,43682,34214,88847,34330,84094
E07000170,Ashfield,55722,73284,40894,96904,716,84487,8364,37942,87535
E07000171,Bassetlaw,62273,92879,65723,63627,98796,70316,58475,1737,68411
E07000172,Broxtowe,63402,78651,7633,920,18437,75914,38130,50368,43953
E07000173,Gedling,77047,27368,70841,41973,4493,17350,92312,15075,86726
E07000174,Mansfield,8531,17599,42272,5401,49362,45340,32546,74816,34741
E07000175,Newark and Sherwood,8240,57255,89655,54258,3549,10370,37757,49543,39147
E07000176,Rushcliffe,79833,52535,15646,81834,19160,91314,64663,35459,40902
E12000005,WEST MIDLANDS,48781,93347,21994,88122,39417,83257,89023,24141,39040
E06000019,"Herefordshire, County of",97579,1435,8124,20948,74973,52001,90218,99378,82873
E06000051,Shropshire,9884,52204,73653,93531,66653,68620,6994,18612,3680
E06000021,Stoke-on-Trent,32282,36420,22609,33791,45720,73000,40293,87754,74649
E06000020,Telford and Wrekin,74187,93592,22136,27465,63056,13585,52422,77555,99049
E10000028,Staffordshire,14659,40829,33101,61042,12536,61866,85419,14410,91006
E07000192,Cannock Chase,6533,72673,23236,61493,70196,8850,88065,3658,78386
E07000193,East Staffordshire,67649,9663,47680,65930,34055,90017,99584,63065,44263
E07000194,Lichfield,80667,99023,89308,64868,71541,21030,27807,31573,41290
E07000195,Newcastle-under-Lyme,37519,42125,87454,7031,25558,90539,74301,62224,89661
E07000196,South Staffordshire,73750,54561,16182,18312,34945,11022,60864,38825,40471
E07000197,Stafford,65640,81734,54612,66738,50355,72663,70102,98904,70560
E07000198,Staffordshire Moorlands,52943,32000,73860,84113,6359,53739,73382,79611,27847
E07000199,Tamworth,56203,33304,8033,7184,9159,82166,39625,29152,94712
E10000031,Warwickshire,81474,59631,71589,57193,6673,78176,41667,31498,33903
E07000218,North Warwickshire,32700,13222,3641,30498,68638,54816,64396,48495,72601
E07000219,Nuneaton and Bedworth,88156,24244,18659,41798,59369,59191,72640,34767,17362
E07000220,Rugby,90205,21315,46810,90420,41071,61193,82931,51750,1817
E07000221,Stratford-on-Avon,31283,7578,13833,35281,2492,58872,58713,67068,43483
E07000222,Warwick,91926,1701,87010,21571,37561,20591,38415,58433,99985
E11000005,West Midlands (Met County),154,47894,98824,23627,27264,6137,93783,82907,88532
E08000025,Birmingham,11831,43194,29512,84921,47992,55605,63245,889,55340
E08000026,Coventry,16433,34365,41680,40628,58823,1684,65522,34593,21085
E08000027,Dudley,639,24588,88946,43591,3141,55645,72859,59094,18970
E08000028,Sandwell,54477,19923,15200,57361,27088,19690,74195,97592,53491
E08000029,Solihull,89164,43346,46698,90633,70830,91288,82689,17381,44500
E08000030,Walsall,44228,11384,21236,60086,29004,94052,45580,13511,64366
E08000031,Wolverhampton,79090,11686,21524,28571,42903,67836,30074,25082,74664
E10000034,Worcestershire,56618,64095,24794,94092,86636,49004,28993,50510,25402
E07000234,Bromsgrove,292,1140,56644,52820,38028,40580,67816,12065,93163
E07000235,Malvern Hills,97925,40651,90045,74089,10571,55879,96880,33878,58058
E07000236,Redditch,56888,54324,69521,41148,47980,78088,62001,46623,5762
E07000237,Worcester,44624,4129,60343,45015,67008,81713,81781,77997,80616
E07000238,Wychavon,36312,1154,18124,86104,96312,11423,62982,19148,59126
E07000239,Wyre Forest,24498,77529,34901,58304,69547,63477,31566,2907,63944
E12000006,East of England,74821,70878,15125,17070,17609,67497,62918,51207,57752
E06000055,Bedford,9840,69691,56736,69726,43696,4496,54087,43008,8171
E06000056,Central Bedfordshire,91048,51402,48044,77395,20450,96429,47379,39495,48477
E06000032,Luton,37169,95730,71894,64323,48325,94485,8627,21262,89557
E06000031,Peterborough,32411,5874,35445,51926,17102,4641,70883,30018,41060
E06000033,Southend-on-Sea,38199,65448,44835,60340,18065,65349,48048,53027,50547
E06000034,Thurrock,59070,35901,57068,60420,14924,4307,4264,49493,72120
E10000003,Cambridgeshire,72759,45823,8433,63677,40140,4255,42590,51446,18446
E07000008,Cambridge,61777,41278,50300,4779,18080,36336,60179,55549,52987
E07000009,East Cambridgeshire,45790,3934,50536,9785,3835,19075,273,25826,8919
E07000010,Fenland,98542,21408,87842,56167,9455,4552,80793,7433,94471
E07000011,Huntingdonshire,37910,24174,59926,44172,11265,97944,88056,51187,75570
E07000012,South Cambridgeshire,17947,35955,67065,11739,75896,5281,15833,3362,71780
E10000012,Essex,66037,67996,88704,73981,81425,92390,89235,88932,37624
E07000066,Basildon,11427,85975,9358,83533,72848,63409,63467,20286,59916
E07000067,Braintree,75214,68003,55957,31301,16336,22877,18439,85319,59215
E07000068,Brentwood,29643,59971,48824,63432,60634,31722,33579,47277,65070
E07000069,Castle Point,43981,8830,7359,74672,89958,20973,50447,69204,94355
E07000070,Chelmsford,25057,42443,70917,38477,17917,45468,78771,59005,13831
E07000071,Colchester,50393,65303,7969,32350,95226,54650,50574,95703,96928
E07000072,Epping Forest,74083,48320,61365,71215,83302,41467,54087,23708,1022
E07000073,Harlow,24181,23877,82866,32311,53472,19437,87649,92515,64214
E07000074,Maldon,54128,84882,66359,16036,66919,46957,54087,54444,80802
E07000075,Rochford,50897,68615,55604,48617,63632,98856,132,47387,46868
E07000076,Tendring,54009,83039,76224,30390,86253,31948,76944,15370,59154
E07000077,Uttlesford,48872,90564,10641,16440,7381,97836,58294,28338,77455
E10000015,Hertfordshire,83701,17463,85014,1661,1123,87226,71178,69270,36794
E07000095,Broxbourne,72805,37759,43669,26291,9356,81698,97919,54352,38877
E07000096,Dacorum,6165,52447,48892,37625,94972,82108,70558,52106,61067
E07000242,East Hertfordshire,10007,12402,92146,70431,66354,89836,66936,44865,79897
E07000098,Hertsmere,33307,77729,11868,89888,39323,29431,69750,61802,63748
E07000099,North Hertfordshire,40021,37433,67396,47049,1074,38705,95840,77428,71251
E07000240,St Albans,77751,33635,10616,19024,96832,62641,98717,81699,23638
E07000243,Stevenage,13571,8720,80624,21623,64001,53962,35860,69126,12816
E07000102,Three Rivers,75337,64723,7381,49006,6175,30373,49673,44614,20561
E07000103,Watford,54081,82036,81046,8367,46404,37608,43377,987,21282
E07000241,Welwyn Hatfield,53992,9450,85626,17414,14425,25012,89593,52569,21518
E10000020,Norfolk,93849,97886,8688,2898,77437,14912,94949,94373,43374
E07000143,Breckland,73971,96248,20874,34153,19156,20993,78681,35169,63599
E07000144,Broadland,54280,27671,49861,72574,85701,24804,66728,83462,47978
E07000145,Great Yarmouth,34744,232,74622,66806,69883,9945,3313,4568,95176
E07000146,King's Lynn and West Norfolk,9869,12422,6029,19792,50837,73368,81231,62725,41646
E07000147,North Norfolk,6143,67067,93847,97069,79926,66613,20715,45725,85937
E07000148,Norwich,74974,54393,48088,42141,788,29607,62178,38705,52505
E07000149,South Norfolk,7021,37977,84757,23883,39030,1723,67804,25887,23705
E10000029,Suffolk,14976,10282,92823,36285,96499,49779,76569,8773,71941
E07000200,Babergh,15112,37456,38411,11523,23056,78175,227,31472,71419
E07000244,East Suffolk,53714,992,49766,20596,38468,85325,77341,78959,73526
E07000202,Ipswich,41716,58346,86736,41449,78890,61724,23159,12294,10094
E07000203,Mid Suffolk,95989,36397,29756,12737,31887,75491,26482,33562,21149
E07000245,West Suffolk,14701,82512,99326,64590,16508,19650,70354,34524,6952
E12000007,LONDON,88819,9306,58517,15532,95558,67685,1848,44280,88132
E13000001,Inner London,57814,24762,67473,1988,19000,20525,74103,49787,22139
E09000007,Camden,3445,18090,52433,52163,13302,66365,33963,94632,44296
E09000001,City of London,74169,63689,59445,14960,39803,13236,93309,45516,91823
E09000012,Hackney,24598,23837,93306,75868,84929,52304,87571,69071,77191
E09000013,Hammersmith and Fulham,98206,33789,75925,84847,15063,62144,73550,37587,40357
E09000014,Haringey,61828,89562,26066,84470,98516,59228,92865,69849,72634
E09000019,Islington,40507,47481,86374,33997,84514,20908,81292,61786,20290
E09000020,Kensington and Chelsea,44533,51995,80864,32123,41551,21314,51261,30900,93423
E09000022,Lambeth,89324,32330,71183,39311,40770,99239,71285,87532,88822
E09000023,Lewisham,3514,49999,73754,96029,35518,85369,90239,32031,72740
E09000025,Newham,73695,71132,49351,33405,22871,77782,94847,38579,42399
E09000028,Southwark,86920,26198,90009,16000,28354,56687,55201,29652,87074
E09000030,Tower Hamlets,99466,46457,93654,69529,35975,72324,34893,66399,2209
E09000032,Wandsworth,11207,40601,34533,12463,96057,64791,75313,91953,21096
E09000033,Westminster,25431,9742,36514,63468,62726,81815,6461,68753,81664
E13000002,Outer London,21635,4211,98983,53365,98969,72491,97162,43266,35795
E09000002,Barking and Dagenham,81529,68515,94456,13120,719,33844,62514,74110,53872
E09000003,Barnet,22242,59063,40859,2968,69561,19888,71608,47401,91375
E09000004,Bexley,77074,15350,51791,68427,36578,57132,39657,10939,91570
E09000005,Brent,15422,64848,8659,40652,17760,10076,18646,63687,71006
E09000006,Bromley,7876,7368,39025,25648,67644,93654,79072,68594,99413
E09000008,Croydon,90155,70814,47329,6122,80335,36257,77559,39710,22235
E09000009,Ealing,35973,26860,9950,60993,12947,10707,81176,71403,84212
E09000010,Enfield,11891,45638,62045,36436,31863,18825,76284,85176,99997
E09000011,Greenwich,83349,46388,15035,79049,50151,10186,88410,90810,67931
E09000015,Harrow,40103,87059,53952,54137,46803,55451,68622,5905,41478
E09000016,Havering,1650,54216,12336,87620,10960,39293,47821,47659,38318
E09000017,Hillingdon,60292,21721,24586,44045,22187,83099,82867,58385,17354
E09000018,Hounslow,39499,92441,71841,39383,29561,32550,42802,28964,72477
E09000021,Kingston upon Thames,84282,36620,88333,42823,30934,48073,6700,53973,11451
E09000024,Merton,77973,80629,74552,55360,61170,79394,82982,62024,53285
E09000026,Redbridge,8399,29090,76931,22183,91458,11946,35326,51387,19484
E09000027,Richmond upon Thames,53237,25745,10128,73857,8639,35269,87582,13635,53902
E09000029,Sutton,8031,39915,5284,73970,89309,47076,28560,26036,11910
E09000031,Waltham Forest,51035,76846,14096,61200,2781,65957,29247,76934,53745
E12000008,SOUTH EAST,41984,91638,6251,77320,40536,12844,48471,16626,16053
E06000036,Bracknell Forest,80554,57892,25806,65385,81599,20623,2728,89659,57091
E06000043,Brighton and Hove,96470,11973,26116,83041,23933,4537,88146,34360,45444
E06000046,Isle of Wight,44965,88729,65252,52586,91246,35121,76257,87446,28952
E06000035,Medway,37359,53697,9788,71901,37114,8755,47961,10381,2938
E06000042,Milton Keynes,62505,42522,41780,36789,22414,18806,21294,52642,72111
E06000044,Portsmouth,1125,96400,20120,48740,78623,25391,28126,79767,39396
E06000038,Reading,5776,36136,4503,68605,94516,49223,89973,39176,17406
E06000039,Slough,24178,98644,8627,81017,98007,93803,77273,36182,97408
E06000045,Southampton,13884,41686,47710,74230,35450,67506,78727,3813,44721
E06000037,West Berkshire,19244,69638,40520,24650,53690,33943,6765,8456,24636
E06000040,Windsor and Maidenhead,92399,96805,70637,64611,57860,11111,28108,77806,68719
E06000041,Wokingham,38849,65853,40842,83864,84014,56880,47676,16783,40332
E06000060,Buckinghamshire,28852,67337,10471,39768,69076,89706,15626,53220,9830
E10000011,East Sussex,16917,17093,50756,76814,80827,42537,25076,87445,55501
E07000061,Eastbourne,83624,74324,46709,58231,42479,50486,23437,95931,62999
E07000062,Hastings,30508,42163,20008,99986,39131,86000,22741,98370,7018
E07000063,Lewes,3759,99792,61430,88206,84259,78046,3603,99309,96474
E07000064,Rother,63194,56917,57847,65262,71594,36684,87134,19347,48722
E07000065,Wealden,86810,51264,49156,43442,42236,89066,29857,64604,68340
E10000014,Hampshire,96234,56608,23268,57675,36327,39262,9465,56089,46789
E07000084,Basingstoke and Deane,90930,53463,44218,56617,29573,21120,26181,54388,95666
E07000085,East Hampshire,84697,90561,69384,6711,42362,40261,85663,58557,89530
E07000086,Eastleigh,29538,67429,75923,75852,48357,7246,68098,30718,55901
E07000087,Fareham,65251,34670,3614,71025,92441,84677,14105,24112,77978
E07000088,Gosport,35577,45109,8199,38112,35758,49648,87761,13324,26825
E07000089,Hart,33695,5374,77971,6242,45783,89703,74046,45606,4824
E07000090,Havant,80860,45390,90696,40521,65879,97774,48292,67042,30517
E07000091,New Forest,17464,38538,53876,23427,6731,42026,59023,75612,45912
E07000092,Rushmoor,31585,5959,23474,34837,49385,97608,3418,25805,84250
E07000093,Test Valley,23324,37178,34758,97300,46396,20746,36738,50630,10159
E07000094,Winchester,61185,26352,47234,48778,72493,44342,28398,43441,1135
E10000016,Kent,16823,10151,47800,74555,25184,297,10955,7853,56332
E07000105,Ashford,57288,22049,83194,48456,321,11570,39919,47620,78281
E07000106,Canterbury,83049,43527,55807,63173,10766,77086,5854,51547,46788
E07000107,Dartford,38273,4280,41635,57242,12523,937,22224,76373,95429
E07000108,Dover,85978,33446,45464,45823,77901,77498,96265,46642,54328
E07000109,Gravesham,42910,37909,36290,47545,7931,31858,65823,93056,29972
E07000110,Maidstone,75254,38303,79104,34616,21759,34458,57769,88937,71289
E07000111,Sevenoaks,28467,74254,99597,7212,18466,38997,81554,1702,90559
E07000112,Folkestone and Hythe,60977,45790,69545,12455,9876,31960,63082,81036,48125
E07000113,Swale,76833,19402,38322,29212,67443,36565,96424,1199,5577
E07000114,Thanet,5215,66646,9268,16661,44689,27794,59549,1647,6854
E07000115,Tonbridge and Malling,54373,5994,48714,86393,88999,85128,48427,55386,23576
E07000116,Tunbridge Wells,20298,12578,48998,94773,94172,59057,24521,55208,525
E10000025,Oxfordshire,86707,70492,18523,88375,66352,83171,80344,25045,77996
E07000177,Cherwell,44967,65503,51926,47870,41432,25977,56125,30941,78490
E07000178,Oxford,5942,98816,29182,57232,80305,87468,67578,28159,71596
E07000179,South Oxfordshire,51295,31389,25440,27835,85288,49476,89573,43036,30366
E07000180,Vale of White Horse,51076,21773,17837,90078,55429,84555,54865,43396,90574
E07000181,West Oxfordshire,18379,66312,54991,60455,23854,23251,88594,22344,6564
E10000030,Surrey,11863,20706,85861,34886,98026,20603,76534,19890,72545
E07000207,Elmbridge,40980,8891,80467,38104,74978,5322,29180,29897,97504
E07000208,Epsom and Ewell,34170,63056,81431,73053,26225,76572,70643,58086,44932
E07000209,Guildford,92784,76401,87780,46466,98125,78645,84893,86834,75797
E07000210,Mole Valley,83893,16433,68746,38620,96215,83614,22054,27170,87830
E07000211,Reigate and Banstead,52135,84728,18835,40749,54166,2101,40275,75663,61328
E07000212,Runnymede,71820,16787,51851,78434,94673,58966,73894,389,89396
E07000213,Spelthorne,20901,95182,50321,79595,680,99453,41030,73824,30923
E07000214,Surrey Heath,72929,16668,64661,628,17141,23228,62851,44822,52434
E07000215,Tandridge,74394,41430,75186,3548,68485,41665,69754,29932,9091
E07000216,Waverley,68353,78579,59220,82600,5141,67408,10827,702,79007
E07000217,Woking,3330,17570,74051,17137,60490,96997,18157,36387,32275
E10000032,West Sussex,64009,42432,82619,80939,91506,47021,60807,89644,37572
E07000223,Adur,70805,70878,52355,68029,2649,77366,86833,48669,83983
E07000224,Arun,43951,88529,50565,319,35711,40946,35407,3908,6880
E07000225,Chichester,63144,28965,17053,86705,81482,74172,63258,57180,22016
E07000226,Crawley,7605,60661,12046,21165,91157,73858,13883,22443,31686
E07000227,Horsham,61484,59320,60619,40263,27564,80739,36358,77715,90425
E07000228,Mid Sussex,73457,50112,85411,2294,64274,60790,49064,38191,85015
E07000229,Worthing,97531,50925,38016,49954,11883,73383,76173,56520,67227
E12000009,SOUTH WEST,76641,87893,88869,90949,73370,96543,2520,44401,13157
E06000022,Bath and North East Somerset,23397,92693,16661,37882,96985,27303,37105,1948,10254
E06000058,"Bournemouth, Christchurch and Poole",35372,49138,33219,3699,63740,13273,99839,91026,25077
E06000023,"Bristol, City of",18771,36674,95745,5431,73249,38117,72627,52610,56562
E06000052,Cornwall,34801,94676,87442,69812,80710,32902,79236,23907,12976
E06000053,Isles of Scilly,111,110,5879,29902,19733,67968,55204,64762,40314
E06000059,Dorset,70148,36736,92706,97158,23629,60665,6443,21343,59097
E06000024,North Somerset,79967,65267,32291,85153,34289,46050,49515,52506,59275
E06000026,Plymouth,36216,83066,78051,49483,69533,82512,99082,50408,93397
E06000025,South Gloucestershire,84592,40765,35471,51426,72126,17662,442,73925,35806
E06000030,Swindon,63711,54631,56805,3373,15482,30636,19473,46407,9129
E06000027,Torbay,41419,70998,80893,3172,25244,37469,75218,70145,87319
E06000054,Wiltshire,5248,10506,27942,89243,24714,11832,78954,34787,9008
E10000008,Devon,27379,23625,13843,15220,68962,48366,41545,57283,60581
E07000040,East Devon,32147,83019,66369,61334,68163,89876,9467,3695,58918
E07000041,Exeter,60356,27056,96442,10588,15010,66549,51878,20634,1385
E07000042,Mid Devon,12919,39975,13829,23707,29482,32612,25280,51455,51055
E07000043,North Devon,60151,20594,99539,63360,6487,1360,88040,73044,14645
E07000044,South Hams,20248,16016,63818,88141,12331,82758,49341,39872,61898
E07000045,Teignbridge,49302,53828,93092,17148,3288,64085,17478,45031,25477
E07000046,Torridge,68524,16312,29144,75211,78914,96469,69027,5984,13222
E07000047,West Devon,84465,8018,8854,27999,95968,88112,33979,20531,5689
E10000013,Gloucestershire,7749,7444,4433,91085,35912,2042,34899,53341,50383
E07000078,Cheltenham,55001,40858,29984,73496,98885,62897,18650,49891,29948
E07000079,Cotswold,49566,53030,73311,8655,28205,90479,14683,56893,49903
E07000080,Forest of Dean,3770,7674,44872,25523,61964,25948,90205,28616,78050
E07000081,Gloucester,24965,21835,24488,63460,67785,46164,38896,41864,68145
E07000082,Stroud,20283,95975,21512,97022,57658,13564,1345,41883,42971
E07000083,Tewkesbury,5628,38450,39106,38986,70160,63384,74825,16534,53441
E10000027,Somerset,20072,43297,9088,30152,35872,70103,60937,21741,71149
E07000187,Mendip,45856,86172,8827,86590,23153,73033,29946,80499,90377
E07000188,Sedgemoor,44318,82216,24500,47536,60198,98378,52890,30007,86148
E07000246,Somerset West and Taunton,82875,62908,7410,42894,71523,48974,43337,96539,38271
E07000189,South Somerset,31383,23268,47285,1099,8681,92603,32963,75761,73432
W92000004,WALES,41494,97556,59024,1864,11796,31251,35944,20909,11311
W06000001,Isle of Anglesey,89931,67627,21117,51004,98277,552,69973,65787,66419
W06000002,Gwynedd,54346,76204,66983,48140,15348,95804,74033,7070,95003
W06000003,Conwy,40123,49428,54875,1812,50692,59590,93686,65491,18339
W06000004,Denbighshire,17729,78443,455,31328,69210,54892,39226,58622,78905
W06000005,Flintshire,97130,74395,46112,42888,59363,67179,95953,63272,7323
W06000006,Wrexham,91198,92679,63461,87822,36022,31416,32058,70566,86176
