Area Code,Area Name,Owned: Owns outright,Owned: Owns with a mortgage or loan,Shared ownership: Shared ownership,Social rented: Rents from council or Local Authority,Social rented: Other social rented,Private rented: Private landlord or letting agency,Private rented: Other private rented,Lives rent free
E07000196,South Staffordshire,63749,52745,24959,40139,44186,7723,32091,74643
E07000197,Stafford,62062,91749,89888,1806,60671,13580,11714,7862
E07000198,Staffordshire Moorlands,31886,61141,92334,87026,60394,13995,97136,50981
E07000199,Tamworth,9842,14109,57963,74875,5909,25066,53252,30818
E10000031,Warwickshire,874,40230,21130,45547,39634,47048,98862,74591
E07000218,North Warwickshire,25779,46655,14766,15269,25757,17435,85172,51949
E07000219,Nuneaton and Bedworth,18422,94870,88241,81427,1341,52274,44930,90413
E07000220,Rugby,47716,26597,26366,91888,721,24810,10234,15499
E07000221,Stratford-on-Avon,86289,83876,92475,65724,32204,98389,66712,59001
E07000222,Warwick,92783,42290,79804,29313,6898,84397,90977,88729
E11000005,West Midlands (Met County),87922,68272,49367,86646,68021,4829,66035,52125
E08000025,Birmingham,38809,65077,59632,83008,42216,81254,74074,79160
E08000026,Coventry,77701,49894,1820,76605,98135,92154,18184,21235
E08000027,Dudley,24017,7658,44503,3736,19503,73444,972,25900
E08000028,Sandwell,62062,80723,32494,47507,3858,2188,10454,16275
E08000029,Solihull,95391,41370,87134,10633,49195,42763,91282,42984
E08000030,Walsall,80235,56976,69411,40647,45416,70218,14615,91900
E08000031,Wolverhampton,18535,2173,18371,22872,80531,92859,91821,53464
E10000034,Worcestershire,98251,59706,58746,36035,48754,72971,20535,37843
E07000234,Bromsgrove,9005,2889,68857,46902,56737,61891,19782,21499
E07000235,Malvern Hills,40255,29466,49023,31104,25294,50287,30845,62467
E07000236,Redditch,79955,30095,91525,6550,51423,2523,98289,84140
E07000237,Worcester,80861,89734,29166,6546,89163,27826,72477,75610
E07000238,Wychavon,55194,7153,28911,82178,47539,50440,67598,1273
E07000239,Wyre Forest,39877,59195,86944,58197,61268,24138,36916,56456
E12000006,East of England,74047,24653,77255,2892,87124,20116,80146,4950
E06000055,Bedford,37343,28872,267,12228,95273,249,41618,6507
E06000056,Central Bedfordshire,10851,30583,23547,66516,69263,27389,18879,83815
E06000032,Luton,88067,65699,84762,65142,68970,84059,29108,95758
E06000031,Peterborough,50837,79851,98522,89152,31613,34631,58164,50892
E06000033,Southend-on-Sea,81489,33177,32010,92526,84904,21100,87683,31136
E06000034,Thurrock,7364,8328,59935,65914,27113,84336,81428,134
E10000003,Cambridgeshire,89493,81013,86720,49242,65237,24484,96718,19633
E07000008,Cambridge,2663,66777,64120,33005,9072,26430,34167,18804
E07000009,East Cambridgeshire,43838,33758,41345,1725,24544,15515,66614,54039
E07000010,Fenland,15105,57246,51078,17997,1601,28419,22747,68651
E07000011,Huntingdonshire,37967,99484,32614,3222,51535,80798,80723,77846
E07000012,South Cambridgeshire,99325,84249,97505,72251,88554,38179,21504,12042
E10000012,Essex,38843,38860,53344,69162,53948,2894,198,868
E07000066,Basildon,6055,71420,7623,73842,1124,20645,51312,58476
E07000067,Braintree,7050,52109,30375,81646,95666,88645,58222,88932
E07000068,Brentwood,27596,74894,36827,32984,85090,91721,12101,99442
E07000069,Castle Point,76192,96490,86194,57463,74064,81272,49910,56023
E07000070,Chelmsford,46823,19517,75275,86929,21846,1703,91653,52580
E07000071,Colchester,50698,10872,2884,30302,88371,36128,61527,39645
E07000072,Epping Forest,22735,78226,99594,21234,3029,28855,26572,68679
E07000073,Harlow,78938,52522,73784,71836,46641,82349,80697,26721
E07000074,Maldon,82459,79986,8492,87286,99435,55955,86207,97890
E07000075,Rochford,11661,60549,36154,28184,49939,69577,19838,35136
E07000076,Tendring,56043,87862,26861,39503,35460,27038,44326,76286
E07000077,Uttlesford,75124,12334,53913,33497,95559,53122,29999,38717
E10000015,Hertfordshire,14495,45713,6258,55809,23742,16703,86094,31618
E07000095,Broxbourne,61388,41305,40093,12365,93333,2431,73829,71860
E07000096,Dacorum,70202,50675,73983,28713,38316,89392,38404,88866
E07000242,East Hertfordshire,3102,38969,51486,33600,64431,7625,7410,77460
E07000098,Hertsmere,19288,64821,26926,56918,18811,72670,80295,37206
E07000099,North Hertfordshire,49178,67257,81137,3207,77847,81195,64383,41322
E07000240,St Albans,81973,29779,21188,81210,8510,43715,71445,17956
E07000243,Stevenage,22011,27113,6721,2977,79057,53623,20091,74082
E07000102,Three Rivers,27788,69501,17393,90439,28488,74377,98668,82981
E07000103,Watford,28442,61179,43418,43144,54019,4397,90744,86985
E07000241,Welwyn Hatfield,7576,17312,18661,11619,36204,24741,242,13378
E10000020,Norfolk,83154,39585,44343,37832,78984,8533,25909,86336
E07000143,Breckland,38687,39085,2294,77973,47732,99607,97759,4468
E07000144,Broadland,10191,29077,26886,1824,35305,8621,977,601
E07000145,Great Yarmouth,7941,85740,52035,81521,23762,16633,30562,67712
E07000146,King's Lynn and West Norfolk,35659,45061,63930,90394,17348,17832,8287,86285
E07000147,North Norfolk,22459,82477,39476,92177,49644,18378,70297,81615
E07000148,Norwich,75976,29611,98233,54304,78961,37492,41290,42510
E07000149,South Norfolk,35831,89963,51547,1576,549,91517,54387,64044
E10000029,Suffolk,18395,40671,87179,29969,47699,74882,10582,26105
E07000200,Babergh,68400,29544,50534,26143,35925,86044,53382,38967
E07000244,East Suffolk,68305,34920,43717,68380,22805,80035,9569,36295
E07000202,Ipswich,51788,50318,28345,37347,54651,22865,99408,93076
E07000203,Mid Suffolk,75927,31397,86475,86142,48567,11052,25620,76036
E07000245,West Suffolk,78650,4348,33056,21639,74086,78916,51032,37856
E12000007,LONDON,19301,52253,11900,10472,98071,29796,62031,16145
E13000001,Inner London,13635,95057,57041,33462,44219,18172,98384,96778
E09000007,Camden,22877,41127,17402,27386,2017,86854,78981,26290
E09000001,City of London,18016,3990,34994,61077,52825,2756,97497,83726
E09000012,Hackney,36138,91565,52139,65814,88943,37823,5869,26362
E09000013,Hammersmith and Fulham,63765,84372,64707,59337,32441,76449,23559,51149
E09000014,Haringey,34913,63707,2402,46328,99060,49469,33750,63227
E09000019,Islington,16781,22123,91561,51178,34188,58563,4395,20006
E09000020,Kensington and Chelsea,14551,99220,45605,92242,55738,56212,11199,58327
E09000022,Lambeth,97112,48990,37821,47760,2265,76938,96179,87731
E09000023,Lewisham,52204,50493,90452,22202,86053,91411,5780,6836
E09000025,Newham,6928,32688,62059,41287,97065,35911,97116,25518
E09000028,Southwark,22684,61521,37783,10694,4516,57444,73125,5254
E09000030,Tower Hamlets,51566,89221,33444,44779,34332,51456,29065,96634
E09000032,Wandsworth,91809,17703,11990,85559,5605,41281,77588,79133
E09000033,Westminster,53949,2814,54226,58411,17819,8915,54432,5388
E13000002,Outer London,84289,99966,71752,47536,14768,63940,30596,51208
E09000002,Barking and Dagenham,22522,46731,91373,20386,5169,86723,72210,23223
E09000003,Barnet,67055,1464,50354,2184,32674,24681,38451,45198
E09000004,Bexley,53936,25339,41415,76193,46566,98937,29058,82488
E09000005,Brent,65094,48484,72754,34700,80214,27445,12272,32708
E09000006,Bromley,58829,1773,67564,40554,46579,64735,41506,17391
E09000008,Croydon,91211,5660,81198,13127,43839,18861,80746,82385
E09000009,Ealing,84517,40479,56984,92611,85833,37808,27710,60538
E09000010,Enfield,41834,9548,18539,75530,31324,45429,84997,90063
E09000011,Greenwich,60640,86826,47814,35695,8053,47557,55547,41782
E09000015,Harrow,53514,72453,72839,29209,40299,40132,64250,70931
E09000016,Havering,24316,77749,5256,80613,69710,86605,60131,13818
E09000017,Hillingdon,65216,25415,42100,16928,96933,65849,61797,98056
E09000018,Hounslow,38012,16256,75731,29689,54142,50348,71711,91965
E09000021,Kingston upon Thames,54289,5245,19360,61570,43974,72110,1212,16218
E09000024,Merton,59032,65065,87943,55166,10026,79299,13444,81412
E09000026,Redbridge,77045,21931,39483,81400,6898,96814,65921,5760
E09000027,Richmond upon Thames,35119,97104,85101,80403,35175,78595,45325,46931
E09000029,Sutton,71130,88992,1674,31335,69739,98985,79856,58513
E09000031,Waltham Forest,23171,73817,85272,38938,87082,67187,27544,48277
E12000008,SOUTH EAST,37699,5901,72647,82942,32419,54137,12165,17218
E06000036,Bracknell Forest,35117,70717,50427,17902,42223,61062,30997,86693
E06000043,Brighton and Hove,27266,32784,88181,75928,53909,77453,12405,86713
E06000046,Isle of Wight,92913,33398,1617,56462,47549,70027,16801,26760
E06000035,Medway,62898,92808,59931,87871,78817,95007,43765,90984
E06000042,Milton Keynes,7145,80690,88533,95975,63785,14713,16585,87838
E06000044,Portsmouth,91551,48974,56521,64886,61451,8351,52253,87753
E06000038,Reading,55031,28098,14508,16540,67753,79414,16184,51069
E06000039,Slough,21151,99050,53477,89390,73770,58335,21788,8208
E06000045,Southampton,15143,20661,94245,15989,68890,30724,42340,71403
E06000037,West Berkshire,91564,810,2352,90720,74900,65895,64068,61458
E06000040,Windsor and Maidenhead,33418,66475,24109,66567,4681,13987,64367,68543
E06000041,Wokingham,35950,19992,46135,58569,59857,36594,80568,40982
E06000060,Buckinghamshire,7662,63199,19134,89994,70496,7283,81826,39468
E10000011,East Sussex,97055,86982,83483,58268,36563,41203,66043,30522
E07000061,Eastbourne,69666,88730,96740,69934,27148,80245,81906,54178
E07000062,Hastings,68909,93576,44692,79155,37711,4601,97823,5001
E07000063,Lewes,73235,81608,3099,33265,29689,9885,9228,9900
E07000064,Rother,10770,57757,19639,23937,11698,19304,58452,2476
E07000065,Wealden,74043,21429,65971,53680,97690,29119,25946,86052
E10000014,Hampshire,1744,13308,23615,99725,44792,91663,12895,53848
E07000084,Basingstoke and Deane,88681,97522,34969,87190,35112,52544,63979,47390
E07000085,East Hampshire,6833,74077,31001,98457,53202,18915,11954,13973
E07000086,Eastleigh,22763,86326,1707,14216,93317,60854,11808,24695
E07000087,Fareham,627,97297,83212,35108,71756,18065,58940,15491
E07000088,Gosport,40877,99530,35967,54224,54771,109,95652,12504
E07000089,Hart,54547,23589,98818,44794,35990,65388,51284,24432
E07000090,Havant,44249,17086,48247,14742,60292,21707,67270,77230
E07000091,New Forest,69526,38084,6674,19139,98450,82514,62930,39746
E07000092,Rushmoor,10981,19612,1655,15477,75461,60794,52055,18062
E07000093,Test Valley,67509,95739,13814,91810,16255,54506,68837,33903
E07000094,Winchester,69532,38653,22442,7940,43846,50096,10022,78681
E10000016,Kent,94924,50593,56817,4312,21715,62226,84136,72858
E07000105,Ashford,85731,63430,80077,13234,35396,9378,80663,33085
E07000106,Canterbury,69487,58725,18379,76282,72642,29765,51682,23240
E07000107,Dartford,72897,32498,46320,84686,89628,29864,45300,57535
E07000108,Dover,75321,75053,42231,76208,1675,65412,78866,88214
E07000109,Gravesham,91986,33053,19487,91973,88490,96476,31870,73605
E07000110,Maidstone,10320,54758,46808,22858,42278,32608,42530,3513
E07000111,Sevenoaks,8441,46912,8455,61881,87949,51529,29755,48469
E07000112,Folkestone and Hythe,11550,73788,46478,15759,15617,66861,77021,52445
E07000113,Swale,81034,1535,52745,91809,94926,87365,60387,3254
E07000114,Thanet,44003,21925,74688,58950,59094,85068,82896,67937
E07000115,Tonbridge and Malling,37244,32402,5397,40786,65553,80069,43140,18089
E07000116,Tunbridge Wells,37821,53552,84060,96654,24674,3211,43499,63774
E10000025,Oxfordshire,2231,8310,9392,94795,77974,6854,41634,32814
E07000177,Cherwell,76700,22916,71538,41526,57292,34551,69760,4799
E07000178,Oxford,9543,27946,38517,73039,6805,17831,22871,27378
E07000179,South Oxfordshire,47599,83873,21607,94718,24496,89181,30395,4823
E07000180,Vale of White Horse,21637,11073,81731,80756,2131,73957,60327,56009
E07000181,West Oxfordshire,42812,56574,59198,11619,45746,36437,56473,21524
E10000030,Surrey,55183,95992,54273,32470,12231,48499,71352,90958
E07000207,Elmbridge,18504,86510,5575,86019,45072,73807,31619,7868
E07000208,Epsom and Ewell,39799,11537,23374,62565,93516,36790,13073,10225
E07000209,Guildford,23720,81555,86819,77342,77507,45632,94926,61047
E07000210,Mole Valley,33428,54496,67700,91090,82580,62236,61487,82946
E07000211,Reigate and Banstead,66347,81972,76356,49548,81504,77145,80767,43606
E07000212,Runnymede,97022,27188,96108,86570,27146,87811,61989,1162
E07000213,Spelthorne,34561,16829,57313,72400,34491,17278,14007,13698
E07000214,Surrey Heath,94370,4099,46029,52353,95740,54185,66965,52817
E07000215,Tandridge,14191,98245,53904,42222,56133,78660,16051,26801
E07000216,Waverley,16262,60347,93131,12167,68773,44240,12293,55677
E07000217,Woking,75509,35378,9769,86813,59663,48496,58955,45732
E10000032,West Sussex,15929,64045,31074,1077,64370,97664,17498,69849
E07000223,Adur,44261,32051,9681,67808,76469,31470,63713,9183
E07000224,Arun,87464,54226,96484,12255,740,49707,3894,49017
E07000225,Chichester,81598,43163,41333,15243,5660,16649,36746,23218
E07000226,Crawley,85285,71547,47466,44957,65565,93315,40878,86722
E07000227,Horsham,2926,11841,23284,15546,82692,88312,23325,70322
E07000228,Mid Sussex,82963,45939,50846,23438,11266,56067,6855,8342
E07000229,Worthing,86213,67101,69527,67993,13824,81089,23511,99051
E12000009,SOUTH WEST,8753,43537,78618,60849,4431,89223,55387,78702
E06000022,Bath and North East Somerset,22006,25085,23507,27951,89525,46729,41693,19377
E06000058,"Bournemouth, Christchurch and Poole",29703,46327,51624,18169,17382,31491,70662,50116
E06000023,"Bristol, City of",98178,65197,88476,61644,89925,52732,27928,14221
E06000052,Cornwall,94057,54900,89097,2645,55515,77829,38237,45871
E06000053,Isles of Scilly,23971,39559,21353,765,51642,8037,63493,1156
E06000059,Dorset,38184,51074,28951,79827,31369,17384,45217,35095
E06000024,North Somerset,91584,33216,13024,34801,96263,33674,43690,38266
E06000026,Plymouth,17741,22304,90790,81533,32045,78958,67070,15582
E06000025,South Gloucestershire,65290,70322,2430,37377,4451,26783,34169,14498
E06000030,Swindon,5176,53191,71955,3871,29714,3665,68541,83804
E06000027,Torbay,8579,78315,58239,76798,67953,1513,22686,23270
E06000054,Wiltshire,86656,59470,41576,42324,94781,76519,17831,46393
E10000008,Devon,81073,29326,17519,84676,97164,13000,44661,37720
E07000040,East Devon,55540,29259,84541,26208,50483,18127,72291,19139
E07000041,Exeter,83276,40489,46975,68494,67835,86981,36123,58669
E07000042,Mid Devon,35038,22058,41480,33389,58710,62588,55554,68832
E07000043,North Devon,65191,10499,11811,84948,13383,17565,32045,20991
E07000044,South Hams,39791,92559,27959,94702,24897,21519,53151,42385
E07000045,Teignbridge,38348,91771,31265,25815,80401,96553,9242,45816
E07000046,Torridge,54472,90032,61551,44761,65269,25411,93536,84396
E07000047,West Devon,26722,42265,84506,15413,66526,73515,34643,49031
E10000013,Gloucestershire,32915,47999,71671,17743,43903,45514,94357,5261
E07000078,Cheltenham,85930,89544,55878,70578,51143,96014,18214,19441
E07000079,Cotswold,40860,85287,11826,2409,90128,65017,30680,39254
E07000080,Forest of Dean,86654,50725,94688,16347,71153,38475,54432,53740
E07000081,Gloucester,16702,15316,55887,82894,51290,43636,9438,22264
E07000082,Stroud,15724,47103,78700,40111,78096,93201,77744,85760
E07000083,Tewkesbury,43306,16157,99089,99040,98510,30938,38592,91134
E10000027,Somerset,76117,11917,91524,48070,31792,71700,44375,3549
E07000187,Mendip,46600,67924,65489,73897,24317,33145,46557,89903
E07000188,Sedgemoor,71798,44920,46629,52084,74982,7404,18498,54202
E07000246,Somerset West and Taunton,50090,50979,1846,68590,17354,13391,95192,62053
E07000189,South Somerset,10231,2298,2569,40543,78232,71113,8841,34591
W92000004,WALES,49109,72323,57354,44085,36978,37769,39309,41738
W06000001,Isle of Anglesey,76131,26292,81849,17839,84433,1931,1465,55622
W06000002,Gwynedd,15547,48490,40533,75720,10216,16702,57807,45604
W06000003,Conwy,75462,10108,61698,44460,34583,11643,73755,81049
W06000004,Denbighshire,68350,79762,25029,22639,53054,80116,39578,53117
W06000005,Flintshire,43762,1962,9956,52989,48327,74389,62627,75232
W06000006,Wrexham,66869,12559,11472,10940,74461,38904,98204,57074
W06000023,Powys,9237,18523,84502,83871,45473,53594,27834,32830
W06000008,Ceredigion,28682,20965,95819,72663,25654,10254,89323,14538
W06000009,Pembrokeshire,92947,21409,46235,83165,71190,5231,90055,61565
W06000010,Carmarthenshire,38036,97835,92808,30731,91215,51846,19470,97168
W06000011,Swansea,75682,14352,96985,70094,26523,97934,2300,67748
W06000012,Neath Port Talbot,52973,27462,64812,79086,46134,46613,82585,68942
W06000013,Bridgend,92353,15052,63199,10923,91506,29067,84125,21195
W06000014,Vale of Glamorgan,47670,46692,71873,86666,92123,3245,75017,65580
W06000015,Cardiff,6045,5528,28554,77204,78664,39539,77833,19826
W06000016,Rhondda Cynon Taf,48903,77726,1587,24345,63564,1674,42298,77303
W06000024,Merthyr Tydfil,66475,46052,71571,84032,45462,78192,14035,12774
W06000018,Caerphilly,57584,92686,3866,57878,15613,29110,32295,88075
W06000019,Blaenau Gwent,87516,54826,88225,80956,32924,52846,89683,98169
W06000020,Torfaen,21407,47220,47067,10571,5605,75384,27543,61462
W06000021,Monmouthshire,44929,78038,87050,21170,77245,81526,12624,85090
W06000022,Newport,598,23235,62070,74604,27043,44152,23837,16854
