Area Code,Area Name,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E08000003,Manchester,50886,6503,136293,26355,16725,5280,57904,30054,73055
E08000004,Oldham,55757,126445,43811,2095,72796,16540,14009,111275,56594
E08000005,Rochdale,118051,132353,4066,22596,61151,74783,86418,137366,16447
E08000006,Salford,39672,48865,67793,12687,60017,40771,53642,60678,34098
E08000007,Stockport,42994,6097,128559,154342,106061,1385,75273,92317,17850
E08000008,Tameside,69274,50675,92958,39094,106056,128350,26733,34972,123081
E08000009,Trafford,62114,9044,67744,22289,17925,8207,30449,93309,70339
E08000010,Wigan,71409,102849,72743,56826,156274,62731,27551,27088,21992
E10000017,Lancashire,121158,18973,56003,28368,26410,55072,40827,12715,58847
E07000117,Burnley,26681,98176,30222,39554,105496,87624,9113,81745,65486
E07000118,Chorley,72996,68389,31583,56192,16881,97195,56335,65347,84289
E07000119,Fylde,73628,8165,108095,5805,59640,74806,14381,22958,43371
E07000120,Hyndburn,139467,17302,82162,83855,121734,66048,37076,103725,66152
E07000121,Lancaster,88491,87456,51079,12766,31433,44249,13930,68192,3917
E07000122,Pendle,31475,136897,36267,107458,41724,8441,116661,126165,87761
E07000123,Preston,31605,102627,77309,7437,50509,68852,27172,136909,57656
E07000124,Ribble Valley,23460,33272,45073,72570,57449,13752,29263,51140,37024
E07000125,Rossendale,58672,10222,10093,4708,56308,27337,19182,39842,119961
E07000126,South Ribble,57319,57358,11637,79155,111938,87945,84312,70845,54157
E07000127,West Lancashire,11268,71040,5930,79673,18347,37984,33314,90089,44304
E07000128,Wyre,67881,65381,31605,52714,76775,64912,57531,44916,69576
E11000002,Merseyside (Met County),96726,46191,5900,60586,49253,129352,6508,96255,3712
E08000011,Knowsley,21819,11134,76223,18228,65604,83757,131091,16263,54228
E08000012,Liverpool,131947,23364,86406,102633,1514,69463,53420,65306,89657
E08000014,Sefton,22439,58681,41567,59691,15867,69168,33141,76602,23941
E08000013,St. Helens,96424,5351,49493,30752,23951,55002,110111,22762,89756
E08000015,Wirral,10407,25877,89394,48756,8276,35886,116083,84358,10342
E12000003,YORKSHIRE AND THE HUMBER,71046,86553,83197,93743,96300,44536,13139,65848,67829
E06000011,East Riding of Yorkshire,59350,5874,69072,75101,71414,81730,125248,699,26244
E06000010,"Kingston upon Hull, City of",94212,65106,8792,97550,95114,54476,75298,22963,46408
E06000012,North East Lincolnshire,65294,59619,80157,41364,2718,73429,6443,31623,68994
E06000013,North Lincolnshire,59337,20487,130521,42246,60275,136734,74865,92685,31032
E06000014,York,61963,6901,63150,12808,49813,31693,135870,39015,19300
E10000023,North Yorkshire,82052,145464,12570,35653,151868,81035,17580,21466,17141
E07000163,Craven,42071,976,19367,40157,27297,130952,7518,45717,35374
E07000164,Hambleton,33847,57018,33012,82958,97634,41929,37740,95681,54684
E07000165,Harrogate,104124,123289,90711,26279,81953,49888,1335,43014,111523
E07000166,Richmondshire,60830,73085,50014,34723,129213,11534,94088,39148,35792
E07000167,Ryedale,78148,90792,34413,72168,107898,14184,11637,85760,56285
E07000168,Scarborough,72384,85790,72391,51858,18420,52317,69399,41748,10206
E07000169,Selby,117031,92140,52376,116484,121297,89706,96166,38831,9625
E11000003,South Yorkshire (Met County),134665,21355,112755,26236,119366,58366,22615,115768,97764
E08000016,Barnsley,104900,56847,36334,28951,57974,12646,58405,9862,186
E08000017,Doncaster,81753,26949,71332,56556,71816,39609,13211,24660,39699
E08000018,Rotherham,131115,19633,82960,89696,52770,92019,82512,58478,55233
E08000019,Sheffield,36481,97173,13357,94576,2007,6107,80427,104669,16297
E11000006,West Yorkshire (Met County),6538,58167,53919,17780,14830,56525,80453,43789,95016
E08000032,Bradford,57720,92855,61408,10860,692,61546,28733,49281,95487
E08000033,Calderdale,58503,112855,2146,66483,48489,7433,54445,68268,1778
E08000034,Kirklees,49890,66528,46374,102243,53983,46328,49888,20144,152630
E08000035,Leeds,94984,16975,81918,56760,53799,5433,19925,24168,78918
E08000036,Wakefield,102308,68695,71870,26430,39939,865,36695,70348,57319
E12000004,EAST MIDLANDS,63915,64622,27588,44626,4017,16962,43548,50701,32691
E06000015,Derby,12482,27478,67516,8807,51298,98744,60503,115171,64136
E06000016,Leicester,94279,51493,34327,76454,22127,11939,15015,110108,61466
E06000061,North Northamptonshire,83494,92748,61857,30858,57733,3035,4153,86462,54555
E06000018,Nottingham,86418,6957,114428,22350,72643,138356,13989,74246,102262
E06000017,Rutland,43038,41634,30109,56874,29256,110114,36986,80195,24030
E06000062,West Northamptonshire,99959,21885,98761,93196,103793,40154,3731,126120,95356
E10000007,Derbyshire,13764,75096,22378,64323,64500,61765,18504,68054,16386
E07000032,Amber Valley,74912,77094,79656,48542,77342,16416,64222,102245,85865
E07000033,Bolsover,82361,19243,99654,21765,53546,44781,57633,27208,93848
E07000034,Chesterfield,79185,99402,62402,73595,12634,113469,16083,33575,115709
E07000035,Derbyshire Dales,123917,39696,24931,44578,80033,45522,5743,57957,50474
E07000036,Erewash,40773,40677,73118,9891,115682,68354,47138,64661,36139
E07000037,High Peak,124357,108322,3229,52523,68287,28032,41878,90362,22437
E07000038,North East Derbyshire,29411,39482,114889,40562,46318,28749,127392,88377,18353
E07000039,South Derbyshire,100329,108761,54213,56156,37040,9756,110208,112197,37561
E10000018,Leicestershire,24006,8737,94671,16700,7191,45429,53714,58552,74883
E07000129,Blaby,60164,38408,140493,119004,85162,93277,26622,22162,1401
E07000130,Charnwood,9972,35874,73581,24765,3404,64817,62204,64574,42066
E07000131,Harborough,83069,46256,45236,74684,13214,2254,39910,141192,35989
E07000132,Hinckley and Bosworth,75390,22518,35680,28738,90198,55426,2716,62969,8965
E07000133,Melton,25710,44134,67579,21124,23755,110258,56009,19784,6655
E07000134,North West Leicestershire,48981,4234,58821,4313,22345,130200,1683,14873,32397
E07000135,Oadby and Wigston,49782,14720,54477,97748,88226,126068,44522,103496,38546
E10000019,Lincolnshire,109368,68394,77229,79058,87137,43105,75940,100815,93862
E07000136,Boston,11495,49510,117123,52153,62362,33146,76486,1784,4305
E07000137,East Lindsey,61469,37655,48791,18797,83144,85649,136412,54160,9304
E07000138,Lincoln,41696,43651,34647,28083,24889,122499,76854,44312,35858
E07000139,North Kesteven,55607,97164,110840,1961,70569,61847,2152,71319,95110
E07000140,South Holland,27250,53614,46550,55383,26569,48086,108632,42190,3684
E07000141,South Kesteven,119048,60368,105645,28898,48357,8089,94811,108647,122141
E07000142,West Lindsey,18673,31878,21395,43493,26962,56005,106709,89459,79204
E10000024,Nottinghamshire,38376,72015,66929,73473,3339,51996,58095,71008,28882
E07000170,Ashfield,30064,4532,110767,65464,52151,59950,140587,110127,4687
E07000171,Bassetlaw,98390,3733,89948,121474,5795,93289,83756,5836,19437
E07000172,Broxtowe,4430,140856,40702,140842,71458,102758,66063,86874,6355
E07000173,Gedling,54300,53946,45520,16062,76294,36375,21944,102778,88165
E07000174,Mansfield,11869,45709,1410,60919,79088,7727,45277,7832,148058
E07000175,Newark and Sherwood,53530,18117,84943,56530,145016,9450,19942,74855,73804
E07000176,Rushcliffe,34366,54588,61418,1639,19600,29124,113726,103209,58691
E12000005,WEST MIDLANDS,9470,16265,30320,68496,37103,80773,2644,42972,22903
E06000019,"Herefordshire, County of",65335,40728,38187,139,54798,28069,87744,78099,68003
E06000051,Shropshire,40045,77967,23853,13081,49593,2590,74703,3001,82631
E06000021,Stoke-on-Trent,63920,68186,46751,52068,20968,16334,60036,17127,4920
E06000020,Telford and Wrekin,18901,4121,115319,83227,72808,54820,10495,78142,10951
E10000028,Staffordshire,102045,61155,101438,102444,82880,126244,43251,35632,74009
E07000192,Cannock Chase,49760,22056,21722,51816,91702,38454,50947,118505,13257
E07000193,East Staffordshire,128081,23328,6624,31793,89013,9727,45047,48536,72443
E07000194,Lichfield,114460,23314,53229,7968,28513,111815,16865,75076,42252
E07000195,Newcastle-under-Lyme,36355,72808,39303,97952,25887,128693,39024,8782,76237
E07000196,South Staffordshire,64629,17647,90425,76575,90472,92611,28283,30782,29789
E07000197,Stafford,87626,79833,30370,8649,72259,42032,154560,54701,94004
E07000198,Staffordshire Moorlands,68418,128108,34907,42088,54623,63359,1637,41446,67782
E07000199,Tamworth,1521,56536,6959,33855,138345,18169,46856,36791,17462
E10000031,Warwickshire,52227,56919,140260,76935,16542,114523,73377,52485,61057
E07000218,North Warwickshire,1379,148022,28158,73571,5547,132644,79442,53382,27667
E07000219,Nuneaton and Bedworth,62659,112768,86173,130154,5150,14378,138006,92749,35480
E07000220,Rugby,17246,1468,90413,69396,51421,71869,64448,26245,85837
E07000221,Stratford-on-Avon,47724,39830,32116,87728,139581,67390,5872,7030,56303
E07000222,Warwick,4032,64767,6479,20216,102734,81985,92796,20356,40598
E11000005,West Midlands (Met County),14291,28299,3320,3941,116308,24076,25046,127961,15534
E08000025,Birmingham,88903,70987,132709,61303,40066,103088,106572,77148,63622
E08000026,Coventry,118608,83309,138464,18611,20701,2042,40954,108286,133523
E08000027,Dudley,15456,53857,52683,19032,131855,77691,919,97583,131354
E08000028,Sandwell,39770,10843,127578,48224,60637,57030,12962,16288,4003
E08000029,Solihull,50621,76942,57833,44531,54823,99621,40069,95834,64690
E08000030,Walsall,30431,78744,32657,58562,32109,41014,102111,132197,12578
E08000031,Wolverhampton,83536,60205,78543,88952,11134,56339,62540,62943,64235
E10000034,Worcestershire,7879,49271,57097,42488,59341,32059,25362,79856,10635
E07000234,Bromsgrove,22222,33621,974,75593,52538,8639,56857,43503,23548
E07000235,Malvern Hills,60022,6826,16701,35202,48302,17783,66171,87105,58066
E07000236,Redditch,22830,81813,12294,109781,146037,8568,40751,139353,19340
E07000237,Worcester,54650,43491,97933,112043,10944,45795,22271,49221,65527
E07000238,Wychavon,124301,97484,4936,19069,83159,17936,3796,2651,42780
E07000239,Wyre Forest,46725,105625,100788,86792,78964,31454,103059,24395,28009
E12000006,East of England,33297,52152,54797,79299,118736,21803,52669,39047,58939
E06000055,Bedford,40129,99352,128606,3473,94398,19564,50637,68558,3859
E06000056,Central Bedfordshire,102365,131724,3762,82950,76100,42022,74028,92609,55322
E06000032,Luton,108589,29491,17744,46061,21492,3031,43612,118709,98537
E06000031,Peterborough,102134,88261,77243,80185,22707,33069,18729,26317,20061
E06000033,Southend-on-Sea,54003,16366,72162,68877,7830,11014,46577,1876,26498
E06000034,Thurrock,83266,81190,47343,48197,49462,113446,76159,90319,76652
E10000003,Cambridgeshire,60099,44547,84133,149443,72923,74359,27958,55814,31229
E07000008,Cambridge,27235,62021,6816,111318,4324,41303,116315,83129,113770
E07000009,East Cambridgeshire,115173,37940,66978,34350,101732,40080,71934,108483,2412
E07000010,Fenland,53867,7751,8736,12983,1679,46784,45526,37575,48726
E07000011,Huntingdonshire,24401,15349,144663,15446,34531,54984,3084,134810,91640
E07000012,South Cambridgeshire,47396,95110,6783,16129,42932,79680,15408,90917,31270
E10000012,Essex,7663,89680,21078,85842,14653,100811,111784,34076,70189
E07000066,Basildon,9966,141795,20515,2652,40278,39467,93102,37602,46912
E07000067,Braintree,26417,77627,28761,17303,30934,94898,143530,79877,81202
E07000068,Brentwood,17972,54368,128120,84636,25544,54180,121153,4202,76204
E07000069,Castle Point,66681,75239,24052,65487,25195,54926,19009,93798,10542
E07000070,Chelmsford,52860,65026,80911,14667,24362,20794,29566,20857,11196
E07000071,Colchester,46457,25127,42102,79354,81096,66074,34839,73762,61965
E07000072,Epping Forest,6762,76152,44893,85784,60543,74894,50132,22257,32364
E07000073,Harlow,63428,50511,74161,5738,118507,15011,54064,129339,64443
E07000074,Maldon,17820,42159,36888,40238,43673,504,107667,46797,45778
E07000075,Rochford,71740,7229,56048,53136,45823,65844,471,1611,63472
E07000076,Tendring,66832,66646,64295,68119,59965,5588,71584,16178,26624
E07000077,Uttlesford,1624,90458,75895,93955,10338,27380,4809,22732,90072
E10000015,Hertfordshire,58753,81901,67658,4360,123761,63544,50022,55969,112616
E07000095,Broxbourne,8149,13067,13441,64230,151590,54057,73482,119280,49044
E07000096,Dacorum,3117,105546,82853,109182,95253,8788,39471,30237,31337
E07000242,East Hertfordshire,20508,83393,32853,7317,85022,52494,45810,76004,25977
E07000098,Hertsmere,62023,1573,43232,81440,70623,107639,115730,61947,80102
E07000099,North Hertfordshire,75690,2056,63969,25169,10881,55108,64317,53087,30322
E07000240,St Albans,19801,41254,18493,14550,579,5161,45271,36724,61451
E07000243,Stevenage,3320,77886,41406,81748,138676,72010,40933,71593,10927
E07000102,Three Rivers,60261,70498,131725,104247,82632,2622,82488,32588,52359
E07000103,Watford,43905,111838,23364,59066,58354,27322,3693,20906,55435
E07000241,Welwyn Hatfield,68449,76720,39867,48074,62210,18316,52805,4578,66172
E10000020,Norfolk,94323,47156,32548,35433,84402,16954,17416,128886,75198
E07000143,Breckland,41295,12342,64774,65845,73314,23351,82393,13049,125838
E07000144,Broadland,5168,51379,30726,134094,70903,73426,30575,1389,37895
E07000145,Great Yarmouth,30928,24432,56276,49747,42729,11488,13235,27481,19175
E07000146,King's Lynn and West Norfolk,59144,83821,28979,51199,76243,100205,1010,38884,1938
E07000147,North Norfolk,51432,98525,36664,102199,13977,4072,75118,84683,57215
E07000148,Norwich,24333,45103,104422,48553,40736,7593,58684,21973,92017
E07000149,South Norfolk,2434,49748,61691,130682,69356,23668,43489,119065,43033
E10000029,Suffolk,42028,48988,71790,46504,66383,29518,119483,23776,32959
E07000200,Babergh,94494,31729,46636,28460,84353,27717,120325,3253,60773
E07000244,East Suffolk,49376,638,23766,31732,59673,44113,79679,47109,78229
E07000202,Ipswich,100652,104956,72392,102856,82871,8036,80149,25878,18366
E07000203,Mid Suffolk,54696,80107,96953,111015,16205,9485,55780,76216,72157
E07000245,West Suffolk,24592,68549,105931,32585,59448,39543,92900,60134,7628
E12000007,LONDON,96369,1147,69184,60866,26873,28061,95713,108096,29798
E13000001,Inner London,31047,42078,64355,54426,116075,87465,122264,52292,55004
E09000007,Camden,87763,25709,79645,312,1077,70118,34445,20350,52651
E09000001,City of London,81381,30407,23141,65041,115369,15728,15451,98761,98917
E09000012,Hackney,9655,107245,37982,66104,22013,5587,44425,43445,48758
E09000013,Hammersmith and Fulham,122447,69013,58635,85002,62039,3032,17292,34875,101050
E09000014,Haringey,9617,94193,51854,114002,118370,78954,7273,41011,67507
E09000019,Islington,41729,46104,88576,119900,4674,73561,145423,20914,52537
E09000020,Kensington and Chelsea,1280,73270,52324,39287,89218,103656,33096,117469,118997
E09000022,Lambeth,28854,6286,50694,92137,61624,7773,45778,16893,118652
E09000023,Lewisham,148808,17039,16649,61827,70692,92776,135314,20240,60170
E09000025,Newham,46243,26778,12250,101886,11271,16630,17712,27455,79792
E09000028,Southwark,66842,42567,81396,137312,21446,70243,36790,121508,25736
E09000030,Tower Hamlets,19553,89635,44197,35626,14970,136449,43518,82878,58371
E09000032,Wandsworth,5629,34883,97134,93443,77242,51512,102551,110191,59336
E09000033,Westminster,113238,75780,17170,15730,30614,38397,14489,21908,2839
E13000002,Outer London,102868,81724,48637,43653,25942,23806,18143,56496,68420
E09000002,Barking and Dagenham,89925,110815,79426,31241,97856,2464,66674,6035,62041
E09000003,Barnet,115957,32916,16336,94674,11830,42648,13102,16784,72884
E09000004,Bexley,4450,14333,55308,2546,59831,25030,51539,80353,107817
E09000005,Brent,1255,128061,55720,22469,25502,48627,19396,101055,60044
E09000006,Bromley,54749,14472,9203,53613,90219,66152,25555,31901,42470
E09000008,Croydon,112377,55234,1275,78309,1582,38049,17383,34284,113213
E09000009,Ealing,29953,10772,69366,17639,123441,25404,68848,20357,35918
E09000010,Enfield,72066,24913,21817,55315,69757,16136,31090,109734,91745
E09000011,Greenwich,4493,84449,15552,110267,43549,29303,4406,135626,121926
E09000015,Harrow,67401,18191,50815,12346,88998,2349,117651,2234,128979
E09000016,Havering,39737,47692,25057,96201,6250,60230,139771,33882,88139
E09000017,Hillingdon,118462,81039,62528,10110,32155,9360,37945,45598,85966
E09000018,Hounslow,107139,37013,1783,40174,47038,4561,23740,35676,30325
E09000021,Kingston upon Thames,27018,23156,87422,9423,7794,43657,85646,11422,93669
E09000024,Merton,21194,47675,57034,20437,64054,74867,57827,80487,69703
E09000026,Redbridge,18142,98191,10568,128010,59380,17428,99917,36564,16854
E09000027,Richmond upon Thames,92683,45757,65902,14062,70479,49844,21779,53373,14885
E09000029,Sutton,100663,77789,48842,143880,2109,93016,11315,14539,3634
E09000031,Waltham Forest,35257,48981,31396,78483,17059,24034,45721,67923,53673
E12000008,SOUTH EAST,42241,127442,114403,126220,143586,109630,24564,38785,137201
E06000036,Bracknell Forest,51754,42045,31577,7275,82876,5377,28482,80880,22877
E06000043,Brighton and Hove,14570,64968,24030,62948,51125,26853,72356,22130,19360
E06000046,Isle of Wight,39082,101336,17236,123934,39989,39666,44006,44952,126441
E06000035,Medway,65949,92936,44576,47954,22156,9087,8144,40334,143483
E06000042,Milton Keynes,87254,1486,5560,54732,31607,54718,41684,70425,77653
E06000044,Portsmouth,62960,78015,122370,39574,145938,89831,53821,19460,37658
E06000038,Reading,24030,32003,2353,110748,13571,61787,121856,66454,7959
E06000039,Slough,105551,11101,69021,13769,39426,113899,53303,50797,56078
E06000045,Southampton,76664,53119,34538,44134,123975,30683,72407,66080,104951
E06000037,West Berkshire,111862,41950,128423,58133,49550,17106,26790,37249,73867
E06000040,Windsor and Maidenhead,92479,24156,43277,28492,138016,117987,133439,77108,101806
E06000041,Wokingham,124363,24254,16934,31523,45518,115794,27835,105267,81133
E06000060,Buckinghamshire,138219,12450,61024,23404,24510,23239,109595,69934,122053
E10000011,East Sussex,67969,64507,32361,7086,130801,30693,92704,2911,3530
E07000061,Eastbourne,68961,35567,34212,47769,30462,35772,43954,23920,89096
E07000062,Hastings,43005,23039,42252,34824,12252,57083,5453,6245,4557
E07000063,Lewes,16975,26309,59273,69016,143378,50425,47982,101998,10945
E07000064,Rother,64417,137407,24244,106624,28612,58746,80167,54836,5404
E07000065,Wealden,130437,10329,47070,142863,5180,49440,31539,19540,38257
E10000014,Hampshire,34520,66364,46288,132299,42503,77554,118040,17860,118672
E07000084,Basingstoke and Deane,2252,39552,18405,12771,57600,49672,11794,17431,853
E07000085,East Hampshire,16918,66022,49619,69169,70964,132212,77445,21454,31274
E07000086,Eastleigh,52758,4327,104427,81667,123522,76357,121546,44330,51290
E07000087,Fareham,74452,86219,17407,103145,76686,73319,106263,46944,121826
E07000088,Gosport,25821,67835,29299,87757,7136,25329,11130,65454,43922
E07000089,Hart,93169,73043,4956,5393,8976,30091,70404,84144,30900
E07000090,Havant,68181,17684,57933,47114,31791,6182,134009,99423,86088
E07000091,New Forest,60515,22602,55834,31608,17385,15824,43431,50762,108516
E07000092,Rushmoor,112418,60530,24991,53811,52663,43326,2083,104582,10502
E07000093,Test Valley,79617,30210,81951,28507,7055,26467,27543,31499,77285
E07000094,Winchester,50580,1420,104627,76538,120175,44505,68583,22710,39596
E10000016,Kent,56040,79777,80256,24111,97475,527,9250,112131,3640
E07000105,Ashford,46303,27283,12689,13314,51975,122203,100147,119123,49895
E07000106,Canterbury,44582,52576,51558,41761,21635,74805,45048,43762,50751
E07000107,Dartford,23400,103665,72337,71815,75828,78104,90997,17582,70504
E07000108,Dover,120702,122880,94161,38267,9827,31117,20532,53129,17859
E07000109,Gravesham,28585,44803,74111,62916,49807,31437,70062,93234,25663
E07000110,Maidstone,112427,91036,103821,87624,16421,67557,12797,6145,65603
E07000111,Sevenoaks,64762,7419,39252,71060,1283,34358,49681,103144,68411
E07000112,Folkestone and Hythe,84025,30447,87760,64474,48831,131914,104199,81399,16811
E07000113,Swale,105404,50537,9322,55463,80728,66360,108564,8503,128367
E07000114,Thanet,59536,82033,41421,46475,36812,95947,70437,85549,55254
E07000115,Tonbridge and Malling,111174,106878,96967,97323,85443,135010,26860,33691,63727
E07000116,Tunbridge Wells,6560,114059,3185,65980,55754,56872,50375,107821,89504
E10000025,Oxfordshire,36135,16669,33363,2096,59420,81793,45215,140652,70631
E07000177,Cherwell,44608,53902,110585,18078,59001,119103,98295,35491,29503
E07000178,Oxford,21888,102619,81460,15722,48623,97141,88390,51016,37224
E07000179,South Oxfordshire,11406,41215,74996,67992,35328,29511,47656,39537,18770
E07000180,Vale of White Horse,7263,50626,12770,100222,111828,19595,41139,65209,18255
E07000181,West Oxfordshire,28262,38886,25827,96946,40361,67433,2263,8860,31199
E10000030,Surrey,11582,93418,71479,63059,11427,94304,109924,42079,18875
E07000207,Elmbridge,87034,126454,34753,54743,64575,58812,39968,1791,39771
E07000208,Epsom and Ewell,125233,31442,33911,72982,50020,71584,18097,116430,15116
E07000209,Guildford,51090,111630,28815,31124,44691,41450,119997,43851,62641
E07000210,Mole Valley,48203,18644,7109,19433,13669,43043,13814,57321,107865
E07000211,Reigate and Banstead,83827,86390,133724,39330,51135,59216,21172,29081,22831
E07000212,Runnymede,92804,20399,86547,15614,101142,56791,49432,47594,6209
E07000213,Spelthorne,7344,7690,81223,34856,21526,10921,41346,25930,46387
E07000214,Surrey Heath,92948,65222,54725,8103,33629,37201,55848,35984,59996
E07000215,Tandridge,80587,56012,82811,119430,23727,41426,35495,46523,122452
E07000216,Waverley,44000,39394,57850,42671,71031,5323,1185,51424,12393
E07000217,Woking,23824,84624,18068,1239,15454,103970,89113,87599,60628
E10000032,West Sussex,2132,52017,23855,74232,2274,51638,57825,18739,8082
E07000223,Adur,128588,50001,81826,74729,35735,35408,92205,115784,108862
E07000224,Arun,49351,52080,99551,102545,103371,114081,83374,41695,9940
E07000225,Chichester,61102,49844,32320,38432,46206,78383,88464,9854,76464
E07000226,Crawley,25829,25475,67119,81719,57503,79799,35852,57697,99060
E07000227,Horsham,3533,83575,12753,88122,24124,270,90330,98688,95102
E07000228,Mid Sussex,13143,19437,2437,71675,11816,2326,66594,41362,60652
E07000229,Worthing,2986,56274,2560,19512,51674,14110,44885,54154,78129
E12000009,SOUTH WEST,57576,85977,95128,42003,43134,42182,62533,1975,134996
E06000022,Bath and North East Somerset,22050,45882,3021,103630,34592,45060,16695,124433,7853
E06000058,"Bournemouth, Christchurch and Poole",121661,75397,31920,53531,70261,80306,44627,129232,28060
E06000023,"Bristol, City of",79210,17702,67660,43444,63628,72373,94135,24516,81923
E06000052,Cornwall,54190,14286,62455,66711,106663,36853,10131,48168,22955
E06000053,Isles of Scilly,11933,53572,106912,31674,39160,35152,47105,107284,45154
E06000059,Dorset,5798,76296,930,114570,41474,36984,19231,72806,34528
E06000024,North Somerset,50439,23900,28303,87843,67235,25177,55198,72158,51687
E06000026,Plymouth,85246,115996,126444,80319,66519,6624,85311,6262,59419
E06000025,South Gloucestershire,37493,22213,35180,26204,26956,29331,43085,76896,122119
E06000030,Swindon,44790,50061,81759,39876,96028,136775,67241,12718,105714
E06000027,Torbay,73107,151594,22841,54954,45350,46187,85867,9702,72634
E06000054,Wiltshire,47657,129584,17434,44540,52982,31890,89783,9834,98191
E10000008,Devon,98893,87690,10310,101800,32345,7854,82479,67233,31914
E07000040,East Devon,6009,61869,79660,86901,68446,96726,58759,78847,84589
E07000041,Exeter,98536,48170,35852,15784,50567,14278,2308,79196,16367
E07000042,Mid Devon,51853,90921,54849,14507,65700,4812,123791,11181,15353
E07000043,North Devon,87310,118098,64320,36161,38322,103912,30131,46543,5158
E07000044,South Hams,37007,112522,35637,2516,52742,35432,47588,90888,84390
E07000045,Teignbridge,30197,25826,24447,9717,72946,42248,43337,23087,5242
E07000046,Torridge,118028,45313,61784,51007,2095,75067,24513,18571,19712
E07000047,West Devon,88243,95704,87307,53028,118014,124487,46235,66091,17444
E10000013,Gloucestershire,56865,73366,36017,41294,45073,15144,79093,14793,6161
E07000078,Cheltenham,65700,73862,20217,44659,64798,46266,53051,19410,32350
E07000079,Cotswold,83406,49606,31483,94286,77029,46264,93531,37290,45043
E07000080,Forest of Dean,20098,34908,70059,44280,69465,45729,38693,124913,33122
E07000081,Gloucester,95812,74044,65996,66706,35353,87337,79399,126302,50456
E07000082,Stroud,64049,66584,79282,57415,13151,76724,43929,37482,18697
E07000083,Tewkesbury,17903,50417,60883,82999,86765,63321,44170,42873,10576
E10000027,Somerset,94529,26362,77445,54767,51319,70848,51544,38286,44756
E07000187,Mendip,41363,16527,60714,22195,50928,19578,16932,56681,41200
E07000188,Sedgemoor,21352,12926,6253,66714,157231,29532,11946,48573,41694
E07000246,Somerset West and Taunton,6977,83574,97126,17857,43935,2270,37141,70091,32315
E07000189,South Somerset,53332,63400,48537,75330,68734,60450,65684,76622,105542
W92000004,WALES,80204,59282,80924,29512,106174,75928,1296,31670,56623
W06000001,Isle of Anglesey,53540,65069,76232,16742,18679,79563,66659,49735,10671
W06000002,Gwynedd,14519,95403,31664,12409,42142,63969,46649,143452,48758
W06000003,Conwy,61610,102424,8127,73407,38068,62790,31460,49911,63821
W06000004,Denbighshire,93131,7499,93558,54808,35289,23605,62219,51430,28140
W06000005,Flintshire,24059,117006,38334,60536,43280,24235,84133,12373,38435
W06000006,Wrexham,47879,71638,97966,142625,70313,50591,24750,1834,97248
