Area Code,Area Name,0 - 4,5 - 9,10 - 15,16 - 19,20 - 24,25 - 34,35 - 49,50 - 64,65 - 74,75 - 84,85 - 115
E07000031,South Lakeland,5931,5798,9485,6583,5819,5589,2017,6175,7002,4563,8529
E11000001,Greater Manchester (Met County),7828,8488,6025,2053,1697,1497,6379,1341,7310,9519,5941
E08000001,Bolton,7267,6241,5152,9696,7491,7992,4131,6586,3970,5678,2174
E08000002,Bury,1056,6086,1682,8091,1650,6182,1919,1710,6383,4057,1436
E08000003,Manchester,9274,4848,3836,1451,9498,9155,2067,2746,8634,1645,7350
E08000004,Oldham,8127,6167,8639,4636,2318,3975,6802,5856,2164,1757,9477
E08000005,Rochdale,5259,5408,2470,5407,8908,7980,4343,1195,8131,3144,9093
E08000006,Salford,2398,7897,6489,8527,7514,8990,8802,5015,8849,3992,1123
E08000007,Stockport,7472,1299,2221,1802,2489,1091,7505,8879,2199,6300,4243
E08000008,Tameside,2033,1518,3360,4573,2369,4625,6839,7634,5894,6145,6602
E08000009,Trafford,8893,6664,2565,9681,3541,5018,4525,3392,2424,6511,9967
E08000010,Wigan,2577,9151,3205,9497,2983,6114,9085,8133,3542,2638,6156
E10000017,Lancashire,4503,6786,3229,4307,7039,4372,7147,1063,9492,2993,9844
E07000117,Burnley,2308,4759,1194,7922,6245,7679,9985,9585,2043,4118,8705
E07000118,Chorley,9636,5618,3177,8080,8421,5223,2002,8354,7124,6964,5470
E07000119,Fylde,4536,1545,3819,9953,2883,8879,1636,3767,2888,6487,8206
E07000120,Hyndburn,1359,6298,7254,8479,2347,9691,8532,3802,1972,5618,2603
E07000121,Lancaster,9537,8835,6364,9467,8023,4145,7483,2951,8280,5383,3591
E07000122,Pendle,5703,1202,7160,5431,4124,8192,3046,2799,2810,3361,7155
E07000123,Preston,1956,2390,9921,1216,8382,5276,3454,5729,3465,8723,1912
E07000124,Ribble Valley,7744,4001,2841,1188,8214,5300,6085,6780,6175,6503,1860
E07000125,Rossendale,3484,4760,9277,8048,1482,6998,7552,6740,2392,9695,1523
E07000126,South Ribble,1900,8699,7683,5964,9278,3858,6980,8311,6118,1502,5212
E07000127,West Lancashire,1974,6506,8840,7369,5661,6007,1717,6164,3262,3582,7372
E07000128,Wyre,2671,2117,6535,4165,4244,4282,8070,3307,3876,9300,1030
E11000002,Merseyside (Met County),4092,5812,1919,5511,3382,6574,3067,9324,6757,9501,4109
E08000011,Knowsley,9202,5794,2663,4988,9342,2103,2797,1256,8781,8794,7096
E08000012,Liverpool,1050,3644,5273,4869,3162,1125,6279,3270,4141,8125,9605
E08000014,Sefton,8586,9431,1154,5596,3582,3808,3059,6195,9950,3280,4125
E08000013,St. Helens,6397,5232,2138,1459,7603,3584,3422,7173,3667,8795,1459
E08000015,Wirral,7087,7289,9119,9100,3307,7277,4092,3383,3796,1530,7113
E12000003,YORKSHIRE AND THE HUMBER,9112,8437,9442,6126,7512,2400,3736,7288,4126,7610,3450
E06000011,East Riding of Yorkshire,6177,7631,3838,1930,7917,8484,1053,7722,3777,5695,6078
E06000010,"Kingston upon Hull, City of",8831,8438,1083,3814,7126,6960,6616,1786,4856,6247,3183
E06000012,North East Lincolnshire,8000,7083,8897,9189,6644,5598,4627,5733,9688,2408,4595
E06000013,North Lincolnshire,3811,8705,1918,3314,9258,8419,7963,9162,4180,2134,7123
E06000014,York,8559,7568,4163,7336,5322,2972,9817,6846,4380,5637,2693
E10000023,North Yorkshire,7343,3012,8097,1621,3618,4989,6718,9506,7212,4125,7727
E07000163,Craven,5690,9764,4292,8749,1767,9373,2731,1413,5106,1952,8305
E07000164,Hambleton,6145,3251,3028,7440,7733,2922,2525,4619,3803,8005,9929
E07000165,Harrogate,1496,1442,6662,9503,7052,9238,1648,4006,7677,2556,4975
E07000166,Richmondshire,2593,9527,7149,7984,8240,8786,3481,4487,7015,5599,9850
E07000167,Ryedale,6349,3663,4836,4210,8773,6073,7907,1931,4555,7489,4393
E07000168,Scarborough,5456,6242,4557,4199,4247,5393,4973,3847,6098,6190,2816
E07000169,Selby,7794,2266,2668,8652,2770,1330,2826,5941,2068,4787,2596
E11000003,South Yorkshire (Met County),6966,5261,9444,8331,9459,8039,2629,3549,5956,8442,8253
E08000016,Barnsley,3769,5902,1578,2904,5998,1071,9206,8585,1340,4919,8830
E08000017,Doncaster,4401,8431,4338,3923,4745,3928,8560,3430,1240,4634,2583
E08000018,Rotherham,3755,1575,5031,7300,7231,4066,8499,9279,7318,1535,4884
E08000019,Sheffield,6245,7375,4665,4302,3396,3183,6418,3394,4502,9251,6425
E11000006,West Yorkshire (Met County),9482,8999,6070,2763,6324,7863,2060,8022,4394,6078,3345
E08000032,Bradford,3041,7583,8822,3177,8161,2755,7393,1335,5830,7918,4275
E08000033,Calderdale,7591,8144,7621,4532,8690,8854,1055,8297,2044,4169,3268
E08000034,Kirklees,3990,7706,5691,7356,5046,8093,8260,1708,3048,5011,1083
E08000035,Leeds,9038,6651,6104,9708,4716,4972,6301,5436,2280,6972,2891
E08000036,Wakefield,5441,7055,2858,2931,4293,9410,9995,2530,9913,7483,9112
E12000004,EAST MIDLANDS,6966,4306,4249,4133,4492,2936,6612,2186,2478,7554,4739
E06000015,Derby,7813,4477,4645,6241,9307,4477,1431,1131,4870,4087,3938
E06000016,Leicester,6342,7376,7116,5399,2981,4430,8699,3905,4947,7952,7944
E06000061,North Northamptonshire,9522,9159,1487,2335,2972,4614,7437,1194,1925,9666,2008
E06000018,Nottingham,6539,5544,8847,1527,7308,4968,6193,4944,5506,1601,8695
E06000017,Rutland,8160,2589,5700,5773,4068,6351,6416,6815,6078,8982,4513
E06000062,West Northamptonshire,1482,1011,7185,1012,6603,4374,6738,4517,4731,9324,3300
E10000007,Derbyshire,8425,6070,4380,1807,8445,9128,8072,2588,9317,2478,9761
E07000032,Amber Valley,8333,3367,7282,2664,5475,3371,9970,5366,1407,2944,3845
E07000033,Bolsover,1070,1303,6040,9941,6065,4693,9434,3514,6535,7319,2363
E07000034,Chesterfield,1305,4966,9881,5270,7498,5376,1392,8207,7886,3106,9892
E07000035,Derbyshire Dales,2109,2478,3964,7449,8839,8368,4430,3036,4857,7726,3586
E07000036,Erewash,6093,9898,2596,7769,7941,3405,3215,4977,8156,6908,9962
E07000037,High Peak,4711,3261,5301,7999,4562,3473,2112,9425,7486,5455,6344
E07000038,North East Derbyshire,5985,4722,9849,9264,3028,3802,5552,3509,1175,8068,7341
E07000039,South Derbyshire,9687,6982,9057,1732,6576,3468,4835,8629,2746,8412,2176
E10000018,Leicestershire,9544,3757,5161,9826,4860,4180,8481,1326,1214,2260,8297
E07000129,Blaby,7642,9484,6838,1479,2124,9125,3268,9516,8135,4723,6478
E07000130,Charnwood,9239,2412,2459,9339,4840,5847,5670,8795,9309,6885,8361
E07000131,Harborough,9864,6670,9556,7898,2176,8565,6340,8708,5066,3652,6003
E07000132,Hinckley and Bosworth,1042,3875,5591,1942,9147,4610,9029,8566,4542,4300,5278
E07000133,Melton,8046,7690,1119,8027,4056,4783,5579,5861,7798,9632,1897
E07000134,North West Leicestershire,2674,1807,4775,4587,6673,2794,9660,6182,4667,4007,9587
E07000135,Oadby and Wigston,5530,5139,3171,4910,7460,3486,7382,3275,8165,1023,5359
E10000019,Lincolnshire,4004,4336,9537,9616,6349,9704,1973,6902,3376,1701,4986
E07000136,Boston,8474,2294,7348,7732,7839,8225,3928,4718,5896,7256,9907
E07000137,East Lindsey,4371,7644,1750,2256,4628,8246,4430,7044,5966,8149,1213
E07000138,Lincoln,7885,7480,3530,5867,6140,4779,7961,7485,1812,5993,3682
E07000139,North Kesteven,1906,6145,9189,4896,5616,7471,7174,9790,9219,9813,5915
E07000140,South Holland,8529,4916,1224,9227,8752,5901,5303,6535,5755,9622,1180
E07000141,South Kesteven,6801,8322,9665,7279,7672,8116,2135,5245,1044,4060,5348
E07000142,West Lindsey,4701,4597,5179,6442,6837,7142,1650,5230,5866,2492,8116
E10000024,Nottinghamshire,5593,6189,3211,2553,3220,6325,5575,3063,5029,1704,3237
E07000170,Ashfield,2034,4074,7437,3894,6121,1764,8917,5119,7945,8323,3001
E07000171,Bassetlaw,2328,2310,2478,3210,7033,9762,1941,6228,2992,7549,3284
E07000172,Broxtowe,6606,4428,2997,2925,6241,3369,6825,2794,1721,9102,6413
E07000173,Gedling,9237,5699,9453,6684,9736,1272,6058,3226,4702,8496,4997
E07000174,Mansfield,9159,2168,3399,6949,1447,2216,4697,6242,9890,7374,4992
E07000175,Newark and Sherwood,9634,7179,1495,3402,2777,9656,6883,1651,3367,8005,4820
E07000176,Rushcliffe,1834,1542,5271,6639,2662,4077,5586,1719,9760,6424,3109
E12000005,WEST MIDLANDS,2082,6461,4354,7681,6817,2416,3587,7353,9456,3727,1947
E06000019,"Herefordshire, County of",2149,4585,2089,5285,9612,6629,8557,1526,4375,9464,6646
E06000051,Shropshire,9959,5502,6429,1747,5094,2502,8281,8735,5195,4925,8935
E06000021,Stoke-on-Trent,7596,1501,5900,6796,4405,4158,9594,7186,9014,3032,4952
E06000020,Telford and Wrekin,5926,7132,1799,2201,8037,3803,8592,1167,2818,6338,2602
E10000028,Staffordshire,6684,6032,8630,8454,8600,6955,3200,6838,9133,4231,5305
E07000192,Cannock Chase,5830,6837,6637,4472,1761,9589,1827,6358,1044,1191,8963
E07000193,East Staffordshire,2638,8122,7699,8133,9836,4620,1396,6284,7067,9603,8409
E07000194,Lichfield,5217,7298,8236,6018,7396,9626,1450,5849,8107,2208,7240
E07000195,Newcastle-under-Lyme,5243,6571,1270,6416,9181,7673,9579,4536,2544,6220,7523
E07000196,South Staffordshire,2762,4191,8784,8502,6585,9046,4442,3304,6192,8699,8316
E07000197,Stafford,3824,7185,8176,1408,6313,4313,6971,3724,6071,9557,5275
E07000198,Staffordshire Moorlands,7034,7725,3466,5739,9261,7365,7396,8548,3837,1274,3547
E07000199,Tamworth,1561,7013,4723,8874,5427,8436,3528,9159,6208,9160,4718
E10000031,Warwickshire,6687,7144,9002,4248,6420,5234,6275,3198,2840,3916,4228
E07000218,North Warwickshire,7156,7572,7636,5251,1527,6644,3483,5412,4680,8855,1039
E07000219,Nuneaton and Bedworth,4489,4778,1386,6921,5528,2144,5359,3094,2071,1084,2350
E07000220,Rugby,7054,6837,5935,6717,8499,6190,7169,9388,5086,4598,2762
E07000221,Stratford-on-Avon,1728,4488,3132,7966,2682,8218,5211,8967,7126,7090,8624
E07000222,Warwick,7293,8658,7190,1648,6414,7385,2389,7693,7964,6243,9511
E11000005,West Midlands (Met County),3168,9625,1486,9295,1364,1173,9203,3539,2812,3709,9863
E08000025,Birmingham,3812,6237,8960,2937,6284,2091,4172,2404,8291,3620,6506
E08000026,Coventry,5442,9040,4810,4343,6764,7975,2004,9211,5462,8008,7495
E08000027,Dudley,1557,8732,9158,6834,2993,3568,2581,9393,3648,7186,8644
E08000028,Sandwell,8315,2922,7159,7058,1138,8963,4161,2986,3985,9860,9386
E08000029,Solihull,4759,8387,7361,9087,3717,4875,4817,5512,1968,8180,2890
E08000030,Walsall,9626,9780,6784,5946,1239,6905,5390,4620,2701,1423,1907
E08000031,Wolverhampton,8314,1393,7443,9977,3524,1663,5636,7902,2817,3432,3466
E10000034,Worcestershire,2276,7844,8225,5740,3375,3267,3021,5570,4757,9448,9316
E07000234,Bromsgrove,4944,3145,1929,5638,5342,8700,5059,7253,8198,4975,9415
E07000235,Malvern Hills,9883,1259,1831,4149,8726,6870,6368,1883,4380,1045,7683
E07000236,Redditch,7255,5283,8627,9992,5107,8118,9517,9451,1278,7118,4775
E07000237,Worcester,9789,8907,7508,2437,8187,6813,5333,9442,7143,7069,3251
E07000238,Wychavon,2088,7397,3146,2730,8935,5382,1506,9498,8518,7802,3912
E07000239,Wyre Forest,7981,6031,8444,3970,4359,5630,9437,5476,6325,1857,4672
E12000006,East of England,3713,8838,1171,3362,5101,4280,4229,4763,9595,6404,1179
E06000055,Bedford,9779,9801,8161,6041,8766,9246,2426,3488,6425,8006,2670
E06000056,Central Bedfordshire,8267,7501,8031,1936,6564,1336,9939,6966,6455,1542,7948
E06000032,Luton,6519,1388,2335,6194,6948,2478,7906,1995,9390,3875,4092
E06000031,Peterborough,6565,3777,8763,1803,9697,8825,8560,2931,2476,2365,6771
E06000033,Southend-on-Sea,5063,1718,1523,8642,3951,6613,3992,5382,6368,7877,5535
E06000034,Thurrock,5987,4906,7045,1502,7008,2995,7504,9720,7246,9581,8654
E10000003,Cambridgeshire,2202,4835,1684,1934,6382,5022,4186,7667,7031,5035,6784
E07000008,Cambridge,3024,9635,3170,3510,5764,7873,2428,8880,4646,4954,3171
E07000009,East Cambridgeshire,6281,7157,3240,9389,4141,7734,8539,1547,9081,5446,8502
E07000010,Fenland,9591,5668,8021,6598,9379,1138,2338,3030,5470,2892,4603
E07000011,Huntingdonshire,6051,6573,2273,6865,4287,1362,9369,6534,3627,9501,3127
E07000012,South Cambridgeshire,7102,3627,4560,9948,5891,4568,6734,6138,3722,6898,7142
E10000012,Essex,2834,5790,8504,8431,8798,3801,8351,5117,4428,9170,4803
E07000066,Basildon,4059,9858,2771,3181,3415,5336,2247,9082,6256,2655,8722
E07000067,Braintree,5878,3104,7667,6987,9704,8067,8223,8858,1368,4862,1527
E07000068,Brentwood,8048,9857,4950,9996,1763,8648,5657,6627,5373,9119,2112
E07000069,Castle Point,2129,4295,7926,1146,6095,1254,4393,7252,3777,3721,5508
E07000070,Chelmsford,5147,6143,6077,2659,6880,5802,7146,9743,6084,3569,6320
E07000071,Colchester,5187,3268,8198,6768,7866,2696,5671,2621,4443,1927,3527
E07000072,Epping Forest,9704,5094,4924,7772,7199,5607,8961,9213,3939,9324,8926
E07000073,Harlow,7425,7152,8599,9184,7826,4260,4665,4690,4507,5459,5636
E07000074,Maldon,1300,4623,6897,3727,4113,9091,3286,2413,2231,8617,2928
E07000075,Rochford,1003,8297,2575,4293,8617,1557,3716,5271,7779,2017,7139
E07000076,Tendring,7270,3692,4954,1058,8169,2329,1780,8963,8747,2313,2885
E07000077,Uttlesford,2749,2862,3224,8632,7875,7891,6283,1190,2421,9676,3074
E10000015,Hertfordshire,1023,7543,4855,3192,3546,4114,9107,9349,9982,7861,5145
E07000095,Broxbourne,4573,3912,3192,8318,1513,1857,4609,6388,3235,4763,3533
E07000096,Dacorum,8895,9242,6160,9656,9606,8228,9254,4525,5641,1856,7927
E07000242,East Hertfordshire,8277,1266,6298,4278,7018,7555,3528,1685,7743,5836,6826
E07000098,Hertsmere,2350,1261,7071,8381,1708,8646,6462,1811,9690,8740,6419
E07000099,North Hertfordshire,2039,2363,6179,9110,5940,7184,4115,7035,1785,2648,3390
E07000240,St Albans,2858,5857,6654,1388,9215,5057,9125,5069,8583,4000,8903
E07000243,Stevenage,1971,4929,1713,4259,4636,2306,9645,5131,2532,7188,5590
E07000102,Three Rivers,4296,8182,5736,2668,9647,3658,4625,5736,8327,7087,3544
E07000103,Watford,4334,6586,8153,2628,5095,9904,7495,1626,4869,6068,7414
E07000241,Welwyn Hatfield,7730,5467,7394,7298,1035,6978,2433,7835,4892,8511,2831
E10000020,Norfolk,1520,1202,6516,3260,4732,6075,9678,2104,8651,9316,5918
E07000143,Breckland,9420,9594,1284,9077,1834,8482,3473,2625,1966,4702,1024
E07000144,Broadland,9471,1864,8607,4012,6211,6411,6554,9060,3270,1768,3830
E07000145,Great Yarmouth,6825,5314,9007,9938,1368,3062,4531,7336,6147,2361,9263
E07000146,King's Lynn and West Norfolk,1479,2717,9991,8079,9151,1348,7719,6375,8825,3544,6351
E07000147,North Norfolk,3655,6846,8565,7352,9934,6632,9198,2176,6226,5412,7218
E07000148,Norwich,9839,3501,4180,1736,1868,7626,9237,6380,5339,9764,2208
E07000149,South Norfolk,8732,1623,2654,4410,7008,7196,9939,7582,6602,7844,9473
E10000029,Suffolk,4745,7426,1579,4733,8134,3942,9807,3377,8233,7872,6181
E07000200,Babergh,1735,1643,7488,8541,1503,3668,7303,6563,1809,2297,5155
E07000244,East Suffolk,6967,1322,4940,9684,9235,2600,2570,9991,7234,4424,7977
E07000202,Ipswich,4581,6619,8950,4615,5465,6653,3312,5895,4254,8370,8572
E07000203,Mid Suffolk,2915,7426,6193,8112,4745,1538,8392,9179,8758,1579,9559
E07000245,West Suffolk,6998,4086,8780,5322,1482,9645,9759,9353,3397,2038,9685
E12000007,LONDON,5492,4917,6414,3100,6203,1145,9840,7122,8881,8257,2451
E13000001,Inner London,8137,2087,7517,6497,6174,2786,1848,6920,6412,7640,4641
E09000007,Camden,1748,5505,3018,1013,2097,4303,6041,9533,5759,2340,2362
E09000001,City of London,2119,8342,1335,4230,7306,5501,8679,2837,3285,2305,9722
E09000012,Hackney,9162,2240,4353,6397,2652,5882,6052,5580,1417,4266,8041
E09000013,Hammersmith and Fulham,3157,4677,3217,3223,4809,8099,3144,2129,1494,8612,8861
E09000014,Haringey,3163,4645,4852,3146,1955,1083,8769,1675,8610,8924,8332
E09000019,Islington,6721,2980,2847,7495,2089,6014,6568,3169,6557,5297,5483
E09000020,Kensington and Chelsea,5854,1926,1393,7913,3674,5846,8917,4791,5376,8396,2420
E09000022,Lambeth,2553,7750,8832,4548,6807,3706,8264,7990,1086,9682,3699
E09000023,Lewisham,8431,3248,4676,1982,8503,8251,4391,4250,7136,5127,3599
E09000025,Newham,8910,6238,2008,9516,7897,6838,2834,7146,2133,2575,2822
E09000028,Southwark,2329,6210,3738,4951,7247,8432,6225,5758,4982,3871,9014
E09000030,Tower Hamlets,2067,5189,7864,5074,6314,4385,3206,8093,4278,1170,9653
E09000032,Wandsworth,5809,8271,8728,2572,9743,1114,5441,7925,3256,3559,5533
E09000033,Westminster,3870,4314,1862,6925,9614,8643,8949,3549,8377,1181,9870
E13000002,Outer London,1123,6820,1955,2993,1981,9098,1709,6425,5870,1238,8730
E09000002,Barking and Dagenham,2969,5460,5604,8575,8898,7206,9176,4989,6566,6596,6165
E09000003,Barnet,7582,4897,5243,6107,4055,7758,9627,8210,7499,7128,7202
E09000004,Bexley,7533,5469,8168,5236,8131,7127,8155,2895,5438,8109,1140
E09000005,Brent,3595,4731,3157,2176,8479,1123,2169,3268,8650,7323,4350
E09000006,Bromley,4954,7020,3197,3925,7387,6709,2024,7546,5069,5932,4398
E09000008,Croydon,4731,2309,6171,3140,9320,7485,3995,9640,9726,8986,2981
E09000009,Ealing,3041,9764,7362,4317,9002,4368,5392,6558,5832,5439,4504
E09000010,Enfield,6702,5348,8972,7272,2593,8384,6191,9876,8943,7859,7581
E09000011,Greenwich,3976,5202,4212,8244,7806,1801,7176,5577,7212,4183,4588
E09000015,Harrow,6220,5087,4781,3509,1406,4920,7260,5419,3986,6037,2471
E09000016,Havering,3304,2648,9997,3205,7478,3623,8961,7747,5171,8753,8771
E09000017,Hillingdon,4247,2405,7901,7472,1042,4774,5173,1722,2948,7957,7271
E09000018,Hounslow,6972,9784,5847,3998,6568,6477,9121,4981,1544,5361,1132
E09000021,Kingston upon Thames,9584,7785,9138,3449,9119,2346,5981,8753,5367,5013,9219
E09000024,Merton,2256,7294,1417,3137,8841,9111,3335,8383,2086,3611,2281
E09000026,Redbridge,2282,5638,5083,4178,9472,1326,3223,6538,3663,4231,9070
E09000027,Richmond upon Thames,5206,7660,8338,9880,1022,3549,8730,1633,7348,9993,6268
E09000029,Sutton,2535,9165,4538,4632,7489,7567,1573,6965,2982,3731,2555
E09000031,Waltham Forest,9078,3893,5386,1368,4492,3729,7217,4612,5913,7300,8901
E12000008,SOUTH EAST,5326,5709,1115,6572,6589,6982,7399,7098,1036,1300,6588
E06000036,Bracknell Forest,1576,2409,3188,7837,8408,6630,1987,2221,6526,1215,3073
E06000043,Brighton and Hove,1879,4399,2054,8163,9971,8200,3463,5239,2269,9493,6572
E06000046,Isle of Wight,2313,8862,9045,5886,5099,3925,7414,2756,1408,3699,8300
E06000035,Medway,8999,9243,9573,7509,8709,3644,9545,1613,1305,3188,3694
E06000042,Milton Keynes,8969,7777,3846,6609,4202,5996,6935,6139,9032,5534,9851
E06000044,Portsmouth,5051,1107,4996,3195,6057,3010,3330,1191,7513,3907,2781
E06000038,Reading,9728,5861,5876,6288,8245,7818,4554,1577,9589,7497,9970
E06000039,Slough,1957,2755,8156,9066,3253,5312,1254,6341,6259,1077,4953
E06000045,Southampton,9469,7633,9756,2410,4657,9391,2639,9487,3965,5378,7340
E06000037,West Berkshire,3068,2226,7795,1282,8403,9685,4565,9731,4092,6783,5405
E06000040,Windsor and Maidenhead,2794,8301,4548,1122,2203,1029,9162,9209,7286,8497,7399
E06000041,Wokingham,6072,4199,4878,9808,8531,9441,3202,5786,7863,2451,7783
E06000060,Buckinghamshire,3752,2700,5996,7390,5133,2756,6400,3188,8235,1289,4559
E10000011,East Sussex,3855,4918,1337,9777,3428,2878,2281,8800,1874,5359,3568
E07000061,Eastbourne,2283,8928,5685,5728,3682,5168,5781,7270,9601,6672,3532
E07000062,Hastings,9184,3871,4252,4443,6725,6968,5935,7071,9533,9113,5955
E07000063,Lewes,8320,6978,5491,8335,8598,9615,3460,8451,7316,6989,8761
E07000064,Rother,2420,6919,5782,3608,2547,5393,3364,2230,2761,9652,4862
E07000065,Wealden,4162,9617,4659,9526,6054,9296,8712,8235,3909,9196,9722
E10000014,Hampshire,8529,8559,9124,8703,2033,8826,9182,1855,2225,1936,3993
E07000084,Basingstoke and Deane,2304,1009,2212,9169,1983,3730,5165,1679,7349,5937,7309
E07000085,East Hampshire,3851,7646,5268,3053,7741,6050,3951,5186,4904,9136,1919
E07000086,Eastleigh,9455,6710,7009,4353,6044,4447,4579,1192,2964,4914,4984
E07000087,Fareham,5038,6303,5341,3140,1698,1941,6071,1932,6591,2682,7617
E07000088,Gosport,7356,8134,2965,8679,1242,1399,8250,1446,4941,8997,1486
E07000089,Hart,5074,2127,4284,1275,3590,2806,4710,9269,2440,2391,2791
E07000090,Havant,9340,6574,4368,7618,3716,1085,9406,7549,7989,7489,1699
E07000091,New Forest,6797,4284,4860,8050,3325,1672,5770,9035,1405,6354,5186
E07000092,Rushmoor,7454,5061,4079,3406,9324,7351,2966,1311,2642,2364,4174
E07000093,Test Valley,8522,3263,3746,4797,8255,1900,5323,8312,8257,9650,1156
E07000094,Winchester,7089,9628,6653,9156,1518,4079,5675,1482,1672,6288,9103
E10000016,Kent,6059,2966,7139,9687,2121,2227,7409,9270,1744,7014,2875
E07000105,Ashford,6694,1360,6047,9132,9421,2612,1924,4154,6927,2938,7621
E07000106,Canterbury,3350,9060,1398,8324,9398,6050,5260,7076,9949,2561,2889
E07000107,Dartford,6630,1190,9377,1883,3065,5938,3661,6939,3155,1777,1232
E07000108,Dover,3922,9719,9583,4128,2243,3985,6063,1311,9506,3641,3861
E07000109,Gravesham,2395,4404,4549,9713,8479,3464,7713,2074,3846,5496,5768
E07000110,Maidstone,3373,9892,4461,3054,1077,1854,5425,7143,2193,6525,1597
E07000111,Sevenoaks,2547,4225,1914,6551,3107,3577,4957,5987,3767,5739,9230
E07000112,Folkestone and Hythe,8251,5331,2487,2303,8678,9957,5182,4397,7826,9613,8932
E07000113,Swale,8600,3807,5369,6387,6644,1987,5114,4832,2574,5390,3770
E07000114,Thanet,1084,3786,3715,1037,7323,8480,1873,3415,2351,3128,3100
E07000115,Tonbridge and Malling,2955,9384,8090,6086,5640,2224,3068,6025,6090,2708,9789
E07000116,Tunbridge Wells,6790,5481,3237,5910,3940,2362,5441,8353,5249,6754,7318
E10000025,Oxfordshire,4257,3051,4475,7255,9388,5042,9061,2899,9077,8675,4114
E07000177,Cherwell,7419,3418,6519,5130,9587,3141,1387,3579,4588,7241,2353
E07000178,Oxford,4552,9677,7996,2267,4618,9502,7786,4027,2610,8695,1512
E07000179,South Oxfordshire,3757,9914,1262,3788,8842,9010,7530,3374,1587,6895,3769
E07000180,Vale of White Horse,8881,3983,9320,9117,2142,7290,1483,6188,1065,5238,9903
E07000181,West Oxfordshire,5747,4471,1756,7175,4088,2295,7068,4985,8797,7291,8212
E10000030,Surrey,3010,5662,2328,6287,6192,9320,8956,6532,6283,6845,8721
E07000207,Elmbridge,8428,4709,7954,1894,1294,6329,9373,9939,2646,4837,4187
E07000208,Epsom and Ewell,4634,3487,4746,6091,6935,6181,1199,4471,1406,1785,2775
E07000209,Guildford,9247,3512,4852,4560,3958,9235,9806,4649,7236,4085,6742
E07000210,Mole Valley,5300,4306,2110,8152,4194,7389,6931,6013,4540,4241,1284
E07000211,Reigate and Banstead,3653,3501,7958,3635,5207,7236,3620,2135,7703,8023,7490
E07000212,Runnymede,2193,6598,7480,5322,4398,6858,1768,4243,9107,6320,6276
E07000213,Spelthorne,4860,3649,3908,3307,5391,3728,3018,6948,2229,8414,2766
E07000214,Surrey Heath,7018,4680,7049,5148,2804,2683,5865,5229,2437,9401,8066
E07000215,Tandridge,1795,7485,6518,8245,2058,6616,5484,3393,2158,7002,5972
