Area Code,Area Name,One person household: Aged 66 years and over,One person household: Other,Single family household: All aged 66 years and over,Single family household: Married or civil partnership couple: No children,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Cohabiting couple family : No children,Single family household: Cohabiting couple family : With dependent children,Single family household: Cohabiting couple family : All children non-dependent,Single family household: Lone parent family : With dependent children,Single family household: Lone parent family : All children non-dependent,Single family household: Other single family household: Other family composition,Multiple-family household: With dependent children,"Multiple-Family Household : Other, including all full-time students and all aged 66 years and over"
E07000028,Carlisle,26277,62736,84428,15304,12590,78673,79004,70213,46501,7003,20069,54211,10145,43101
E07000029,Copeland,13852,18355,74048,28500,42253,57158,89287,99556,46012,69885,87610,53543,47085,82327
E07000030,Eden,84054,80665,76123,83627,60917,21989,54921,36130,21804,68452,88214,3405,56368,91291
E07000031,South Lakeland,76852,71375,32862,73034,53952,70184,921,60556,71821,25053,65502,52273,25036,39449
E11000001,Greater Manchester (Met County),27518,81362,33919,18401,91023,23385,81438,46384,70692,31912,4777,38108,93759,10699
E08000001,Bolton,53493,32200,38171,74271,2129,7990,78092,17858,51191,28907,75867,9653,51300,25702
E08000002,Bury,52812,54494,82105,77751,60623,12966,61358,45875,97256,24111,52239,36792,68251,6336
E08000003,Manchester,45478,63383,73075,34385,93144,58565,65127,82240,22804,38764,62974,74266,21246,82719
E08000004,Oldham,9360,68999,96838,79637,56776,56341,5738,88137,81300,13571,40336,92994,90604,69797
E08000005,Rochdale,17484,44226,45166,54831,22715,19383,44996,88128,47262,55557,18651,27672,43403,36539
E08000006,Salford,77075,63279,2939,94574,48696,78451,48142,58538,56763,78471,93567,63375,72628,66032
E08000007,Stockport,31199,69321,99098,68071,7914,22455,2445,88986,14801,89615,40393,802,12966,82627
E08000008,Tameside,42591,13912,36600,22608,62633,34395,47750,56317,57876,17158,43917,48113,74345,79442
E08000009,Trafford,78309,70366,21258,1049,89161,33712,30930,36719,13421,46597,91754,65608,24486,36368
E08000010,Wigan,3080,29110,76913,85276,56970,62315,2505,94100,94661,17132,41092,64562,49569,1486
E10000017,Lancashire,59056,38419,58250,66032,45418,58831,34308,8052,5455,31236,14917,38176,56973,63580
E07000117,Burnley,97424,36851,38066,72403,40222,36709,94880,15350,64550,55270,82364,79895,29774,46447
E07000118,Chorley,26959,35046,16912,36062,46012,93143,52853,62419,10576,57303,25272,55434,65279,93712
E07000119,Fylde,39857,75221,14174,31924,43003,54783,32711,64029,236,71434,63522,258,10279,62945
E07000120,Hyndburn,25516,13718,41979,84275,66550,32678,56785,48766,30352,63133,69609,10816,12576,72814
E07000121,Lancaster,78887,22313,68509,78556,82792,63498,52386,34451,72952,53291,17778,57954,99540,5275
E07000122,Pendle,64726,45871,9405,22958,16586,66993,26132,7214,29147,20861,58214,58338,19787,25747
E07000123,Preston,82652,4412,66413,93024,86745,44185,75987,37639,85481,8919,63519,8708,66765,24261
E07000124,Ribble Valley,27208,83874,9085,12362,31852,59757,74454,111,7907,63845,91869,47923,72847,67954
E07000125,Rossendale,45726,1594,14398,25933,21280,27092,93179,36973,98338,20630,16314,45144,34038,10234
E07000126,South Ribble,39876,48200,90192,39077,81132,32074,9611,68573,15855,95027,77126,80541,95097,42176
E07000127,West Lancashire,54219,92194,37715,36655,52469,9667,8419,7938,30497,73719,55355,92362,61252,93212
E07000128,Wyre,69825,43269,88549,86763,95239,87408,76741,39501,22698,52187,33826,6161,68259,24564
E11000002,Merseyside (Met County),16096,79451,34940,80491,99857,52807,75314,11741,37921,999,92716,96710,77600,53319
E08000011,Knowsley,64290,57466,41397,61803,82674,76175,65380,24898,10116,75173,79816,93981,69521,14814
E08000012,Liverpool,39926,19124,21321,29907,92748,49386,59082,9772,50258,74675,22685,20383,96369,33535
E08000014,Sefton,73304,67937,88252,71188,32847,43751,28239,76870,37555,3541,80423,34072,93314,79921
E08000013,St. Helens,98657,63289,83240,60158,22304,39486,10401,77036,14497,14877,50324,77678,15766,80822
E08000015,Wirral,67534,62727,40893,30863,8724,75682,73264,45615,91432,17652,66880,7358,62561,46951
E12000003,YORKSHIRE AND THE HUMBER,27213,99456,49754,54832,28571,51348,48809,97178,29845,40490,68969,54083,87647,67575
E06000011,East Riding of Yorkshire,90426,66085,9320,47468,12284,13108,23546,95998,49670,15919,30008,49727,34863,44633
E06000010,"Kingston upon Hull, City of",16298,23773,89313,19890,11125,59479,47494,99389,14510,63756,26343,86876,19118,19433
E06000012,North East Lincolnshire,9942,65041,81789,1656,98455,2353,66483,90137,63137,61369,80208,30434,28089,99479
E06000013,North Lincolnshire,73355,35153,95446,78926,50299,36770,32682,18370,61653,65926,25703,9715,73649,62785
E06000014,York,6309,39446,43059,33423,53332,95454,47930,49950,62760,67522,72150,88090,29462,92872
E10000023,North Yorkshire,23896,71641,74040,89051,38785,36701,10539,73505,39821,15369,6818,7260,58415,60223
E07000163,Craven,90843,48050,14035,38957,73567,35131,92884,96021,67389,84314,52735,21339,83702,36797
E07000164,Hambleton,57493,4701,11111,70780,31980,63123,19469,21282,63515,90953,53911,14101,5820,22443
E07000165,Harrogate,18039,84262,81702,72746,37309,41134,62862,13677,86695,80984,76232,10022,63058,5177
E07000166,Richmondshire,76031,13572,83842,95309,72373,57734,37689,53586,16987,30454,75432,48816,12045,97514
E07000167,Ryedale,50827,9839,14952,62224,71309,3626,54017,58269,64921,99428,21160,60171,89416,12471
E07000168,Scarborough,86787,43608,10486,18161,2236,87842,29507,20100,37751,86034,26416,50269,73376,92522
E07000169,Selby,98962,37361,61404,84201,93870,18411,15891,10907,97624,51411,81274,69656,52466,54827
E11000003,South Yorkshire (Met County),1937,11652,24301,10585,72585,3360,48934,39146,84145,85767,68453,17912,46635,89622
E08000016,Barnsley,9786,44835,61573,54089,46534,76750,68714,20144,18131,25684,42791,69505,30324,81484
E08000017,Doncaster,72070,54306,59617,79692,87091,82465,53357,89986,98203,15987,12778,72031,86370,68526
E08000018,Rotherham,16530,9308,43397,68923,45996,45225,45911,63232,30213,93363,73199,42488,88742,80181
E08000019,Sheffield,56491,75120,41438,76523,14708,8668,24198,88428,81836,2134,20706,25888,91733,42858
E11000006,West Yorkshire (Met County),2406,32329,53319,60596,31450,93465,17476,56701,75330,24544,54704,10035,24407,87835
E08000032,Bradford,10747,48822,30716,37637,33994,80411,31937,43569,25538,96783,9157,50062,11584,46722
E08000033,Calderdale,23441,82431,74278,71841,52386,63047,94050,98236,99582,79427,24731,30273,29487,24616
E08000034,Kirklees,62817,76443,18895,67428,20512,1656,80922,70584,15148,39567,61372,35012,59999,46318
E08000035,Leeds,77561,1908,11157,93991,41750,87138,72106,30417,96933,22439,68484,15589,18109,55032
E08000036,Wakefield,71106,94603,72507,47842,34661,10753,84180,55561,63975,93179,67860,8085,56180,50575
E12000004,EAST MIDLANDS,1881,41778,1279,83901,74406,82349,81439,5367,65521,30810,635,23365,8807,76653
E06000015,Derby,8659,31234,52942,41107,71776,64137,15141,58982,80173,31660,97387,59769,269,53085
E06000016,Leicester,94671,19597,84809,7259,75025,97162,56277,47761,82475,88281,69730,7583,21587,9798
E06000061,North Northamptonshire,48618,76349,56073,93043,13978,53787,4010,69273,28246,4551,25445,58280,28293,21943
E06000018,Nottingham,35377,31536,68052,90978,42669,68956,78017,40573,49912,50918,44094,67031,81125,44442
E06000017,Rutland,76114,56916,70398,37801,32436,35051,20258,76259,70787,39049,41249,17993,35333,11515
E06000062,West Northamptonshire,65958,88981,33899,82808,61935,36202,84899,44881,97670,99977,5780,79722,66871,79730
E10000007,Derbyshire,43330,61454,24985,12856,5751,28029,97027,86752,88362,25728,51717,89846,54148,37894
E07000032,Amber Valley,67994,27846,71684,3187,16691,55420,73569,81125,66911,81913,76846,30104,77402,14816
E07000033,Bolsover,48549,51124,82365,30509,11965,65369,61517,46754,41338,99010,53509,15292,26293,38592
E07000034,Chesterfield,16918,36174,84687,96246,26876,65570,81091,42811,28518,8024,44203,43285,57035,97818
E07000035,Derbyshire Dales,31666,98317,94768,18220,55901,18752,88294,75906,6751,51311,42105,71540,60763,15713
E07000036,Erewash,26721,13455,15605,33791,23181,64962,21002,83440,31452,56810,8648,90712,95670,12592
E07000037,High Peak,91574,71123,6740,24536,78981,59588,67551,34189,26074,93319,42643,16095,16743,56102
E07000038,North East Derbyshire,32256,30358,55767,30021,27840,17895,91117,47169,78667,44147,76667,22000,61898,59245
E07000039,South Derbyshire,64961,26616,86776,37020,5264,99230,88185,44346,26146,20672,4424,97450,52635,23892
E10000018,Leicestershire,55033,28042,17215,17056,37452,53486,9263,94955,99804,99059,35080,10323,26978,13476
E07000129,Blaby,61322,24479,84561,14992,1480,3735,29104,27076,86779,40689,49568,58703,63051,84300
E07000130,Charnwood,11641,36455,25549,51590,41108,2896,72385,45054,90853,44635,45656,60047,85167,29561
E07000131,Harborough,32846,69931,85676,30042,85020,47611,40579,48812,27628,57363,26065,23029,98952,79681
E07000132,Hinckley and Bosworth,51084,15043,62871,42598,85059,55718,72320,21730,89091,60588,67616,88005,55277,252
E07000133,Melton,99051,15779,38905,69559,35150,21729,33273,90768,2359,25747,14747,23296,72006,19448
E07000134,North West Leicestershire,97159,17360,85223,62718,48254,15906,71726,13705,20090,85008,69108,76999,39626,55703
E07000135,Oadby and Wigston,94030,39191,21432,58690,6330,34985,45602,68792,95446,89548,41532,7400,10713,65823
E10000019,Lincolnshire,64568,5225,7422,22885,62894,7532,59620,19180,57650,25420,85029,47591,43494,67224
E07000136,Boston,88487,82800,16487,12889,78769,29068,59598,66107,8365,44377,46830,98973,13242,99323
E07000137,East Lindsey,38689,76901,51539,63279,34341,50600,70406,64320,11848,42595,78807,9260,6617,32407
E07000138,Lincoln,42584,82902,59158,39983,48791,400,10888,5071,53715,71523,66856,63765,97050,11551
E07000139,North Kesteven,50595,15287,94920,23520,91081,87573,70133,29207,8557,61491,71482,15807,22318,39024
E07000140,South Holland,44644,81367,1610,64592,57325,35098,54352,66170,69348,99275,62703,74779,79846,13151
E07000141,South Kesteven,46846,6320,94219,91502,95817,77043,96322,42211,45079,55105,68895,99208,23144,45668
E07000142,West Lindsey,90932,46515,3265,17887,59536,47745,30057,60155,13498,39979,38300,8967,21447,94295
E10000024,Nottinghamshire,93443,52759,10887,28791,15738,3756,19541,80637,94890,29185,28488,25040,46777,35068
E07000170,Ashfield,1153,98602,64653,71015,64412,75323,5667,18450,67538,67861,19345,48947,9368,94993
E07000171,Bassetlaw,33060,83486,30254,84639,35778,10530,96516,37059,70658,3794,75968,3022,79462,76127
E07000172,Broxtowe,94156,19995,87251,55519,6788,59975,9487,48196,78793,26234,82293,67589,93626,25468
E07000173,Gedling,65828,59811,85823,77050,28870,74618,4904,57397,79018,64772,54346,60924,30034,88832
E07000174,Mansfield,22810,33252,42648,27319,23822,65804,16349,79905,68674,3695,17682,14100,69437,50672
E07000175,Newark and Sherwood,75676,79982,98830,55119,20070,40312,327,14668,31070,62220,11883,85003,19438,16244
E07000176,Rushcliffe,1147,25344,15826,82438,39033,61134,9623,54159,48180,24084,95173,95274,85219,41573
E12000005,WEST MIDLANDS,43579,51154,24888,95111,53617,4563,14970,37129,64614,35996,61446,29644,85207,71878
E06000019,"Herefordshire, County of",69239,98127,19251,69069,35416,96177,84734,84446,22449,31618,30420,54272,15595,91253
E06000051,Shropshire,91501,80673,56442,12730,12811,97617,77801,25511,80254,31736,41526,48788,7866,21919
E06000021,Stoke-on-Trent,31997,12668,6919,89966,48898,18326,46258,21718,7860,17003,43912,53985,35656,98646
E06000020,Telford and Wrekin,6531,69019,85852,59139,31345,14059,8817,32240,61042,26743,32974,46869,42214,34835
E10000028,Staffordshire,6259,26646,54825,23693,85346,58280,82647,21645,70657,42658,81970,2119,73256,29498
E07000192,Cannock Chase,45870,54264,76705,27941,24159,43040,65128,47926,66000,96388,36562,92716,36690,40608
E07000193,East Staffordshire,84774,50114,70343,96351,34663,77015,29995,64842,62230,72171,26993,11629,72893,50740
E07000194,Lichfield,81287,4225,14892,12061,35729,52650,18295,87771,20249,12399,36866,72525,76758,99396
E07000195,Newcastle-under-Lyme,73889,23851,38368,90905,45961,57485,58499,56261,92046,29639,85936,50237,27964,12801
E07000196,South Staffordshire,17047,37802,48547,53985,79954,63650,20747,11747,4329,28384,39442,25173,65753,13104
E07000197,Stafford,9497,71967,40278,43647,82068,49712,90530,45934,8639,85553,69004,55809,17944,66882
E07000198,Staffordshire Moorlands,77099,88788,50682,44616,89215,47798,17397,68824,16399,68396,64059,55114,38652,19269
E07000199,Tamworth,47032,38003,95376,39656,5783,39240,30243,94110,15494,47796,28435,46322,2007,32149
E10000031,Warwickshire,28974,3413,16229,10667,68100,31936,21169,56741,14685,53210,47324,79277,70474,86213
E07000218,North Warwickshire,44711,57298,84009,56241,60242,26899,10525,21690,47600,18647,43198,26733,64777,34541
E07000219,Nuneaton and Bedworth,57085,12237,97113,73947,27643,82298,57905,68871,58805,41165,6730,45665,49130,9956
E07000220,Rugby,82127,40405,99508,24966,74310,39174,37713,15969,1778,53379,22852,82349,17253,42287
E07000221,Stratford-on-Avon,57315,23321,30407,70328,48853,60843,96622,15353,12862,37292,22043,8017,41273,59101
E07000222,Warwick,3086,80614,33784,99292,2497,71994,66463,61035,49371,93270,14790,86711,29100,2018
E11000005,West Midlands (Met County),34419,18200,64866,25876,25454,17423,71644,83711,25851,10304,94908,38342,83475,94969
E08000025,Birmingham,15950,86242,62261,49155,36740,62523,39720,99256,59885,12833,1874,62341,96022,75597
E08000026,Coventry,31013,62673,87230,17201,77849,18791,92224,67425,81463,24357,31514,69676,98625,26567
E08000027,Dudley,35291,66323,22008,50958,97198,40342,55070,56573,3450,182,71830,20139,42546,28281
E08000028,Sandwell,20267,30778,64478,19086,62675,74729,91350,75463,27557,80397,30478,37804,37044,72930
E08000029,Solihull,6000,79566,14231,54447,95557,3637,14898,35405,50707,47949,43614,22423,82059,46037
E08000030,Walsall,37580,5492,38696,91780,23567,22869,11837,37019,34907,66771,55045,32617,30420,16313
E08000031,Wolverhampton,54015,76781,58749,52579,72869,23585,26558,3665,20060,51862,73606,34582,66908,48267
E10000034,Worcestershire,94951,80482,92871,58544,20170,58346,41789,86894,34773,13319,19358,42854,14699,14576
E07000234,Bromsgrove,93141,65291,29110,28069,14251,13853,17485,41439,11261,59518,70622,36681,34263,84485
E07000235,Malvern Hills,58236,57086,43484,68734,71489,79458,63115,78427,59552,22092,88379,48640,94832,36321
E07000236,Redditch,42417,57520,57485,23312,60343,33430,89273,94586,59563,63280,34874,5125,70125,36670
E07000237,Worcester,3542,25402,42607,19208,83552,52860,29963,71421,41317,33944,57677,8268,45459,33014
E07000238,Wychavon,65241,23156,28629,26971,41117,8680,47329,74839,74433,92320,5440,61197,90394,92323
E07000239,Wyre Forest,12345,85216,17515,83934,35446,11372,42837,75212,21995,83675,13350,18751,87706,95273
E12000006,East of England,46474,98539,70494,15789,24931,97106,74402,7990,24195,80241,23590,14743,50169,12899
E06000055,Bedford,20828,63091,21330,53266,72366,75335,94158,67562,45954,29772,79790,17526,44501,63481
E06000056,Central Bedfordshire,19782,57396,11678,60041,70678,3880,50949,29526,83905,96706,86805,29261,16842,49652
E06000032,Luton,35874,38280,30902,35540,33262,84795,32615,24084,33378,7048,58055,61449,43861,12540
E06000031,Peterborough,93699,42890,5701,9122,65705,80836,92282,82688,37242,26664,50427,47157,80927,11965
E06000033,Southend-on-Sea,59906,28297,51333,25767,7852,15618,45595,69139,95171,14980,86811,47522,76449,99933
E06000034,Thurrock,22155,67355,45117,50350,79869,79963,6843,16248,90267,67870,99777,65027,79247,88958
E10000003,Cambridgeshire,31344,45855,12811,42754,61424,45623,21615,79470,90197,64003,42140,54234,92307,26746
E07000008,Cambridge,48481,89787,55335,39430,72098,97402,36426,98596,99976,52307,36227,66256,31158,90318
E07000009,East Cambridgeshire,64142,68488,34211,77802,64246,88529,14714,22364,6374,61697,25186,322,8642,91946
E07000010,Fenland,40038,63990,38117,43297,79489,96679,17918,54478,49281,10301,75341,63211,42297,51351
E07000011,Huntingdonshire,60082,62019,18413,51481,1737,93057,10245,5253,42418,35461,20754,55086,79748,63901
E07000012,South Cambridgeshire,56298,88157,79799,60404,94659,27969,39365,42035,64794,60544,30376,84669,341,75573
E10000012,Essex,48416,4278,16198,11299,6528,18142,7176,76197,72059,67872,254,9414,73110,58729
E07000066,Basildon,7068,17031,27383,91369,21839,69121,73860,77072,48391,98547,4233,35539,95283,36502
E07000067,Braintree,1329,10846,59683,45875,23444,74958,6744,10062,83624,51757,97035,67009,87503,94619
E07000068,Brentwood,62428,35504,21001,6604,19851,57362,90281,83970,41218,16231,29572,47302,834,61930
E07000069,Castle Point,95326,84805,4319,61047,39506,83087,54287,36734,75329,29047,76732,9866,95482,77735
E07000070,Chelmsford,21826,16090,33453,35836,12075,2480,88661,91124,55781,77409,25326,17872,34870,50444
E07000071,Colchester,46941,30642,2280,48818,33330,38965,34448,75192,36571,43393,68342,19430,45388,37213
E07000072,Epping Forest,48844,53618,11930,39395,60153,15949,1130,68205,51152,77363,1520,62080,51283,74698
E07000073,Harlow,10181,54876,82072,77975,57454,37618,71049,24608,79961,14915,24960,27854,21544,36553
E07000074,Maldon,29433,52774,41368,8328,57671,91155,68390,85728,14593,13872,62633,27316,92030,8978
E07000075,Rochford,35397,44254,9430,51578,33054,83156,73119,60935,94847,25052,78033,70129,11859,8335
E07000076,Tendring,3085,66297,96145,48234,55716,14828,88047,79562,66295,60336,65840,52585,3739,53520
E07000077,Uttlesford,88696,50519,12932,34397,86902,31212,17907,74708,56968,17069,2807,3196,81920,66396
E10000015,Hertfordshire,13462,78215,84270,40098,63242,10870,96649,62826,67894,76596,61809,42958,66321,55703
E07000095,Broxbourne,27692,1415,99646,12576,26998,34557,90633,65188,96779,7834,77999,93486,10368,8762
E07000096,Dacorum,7823,60203,75740,84508,49421,35274,32408,11634,25810,90032,95227,70165,40283,13302
E07000242,East Hertfordshire,31427,61611,83758,30195,29355,80547,89798,91130,65206,2014,34032,36528,18595,45366
E07000098,Hertsmere,6422,73103,54891,94473,47560,10711,97808,1731,76459,84903,16032,88529,32500,38785
E07000099,North Hertfordshire,20471,83933,46628,36974,81902,5320,81642,97618,8778,5132,18363,13468,68902,61257
E07000240,St Albans,57595,31211,10468,57369,16561,65300,20944,97371,92059,81987,77595,83564,53475,62879
E07000243,Stevenage,72382,99165,67833,70873,50011,22952,28181,18956,21486,46514,60909,57952,2822,46725
E07000102,Three Rivers,26034,77844,66507,75291,30997,13983,96700,30313,71699,60656,60823,84379,38221,14577
E07000103,Watford,94941,21904,94478,19338,84820,40630,21431,758,68195,94301,7254,93212,38152,91838
E07000241,Welwyn Hatfield,82391,9893,28925,85255,17928,75635,55505,69004,47819,74837,57170,2089,76627,72708
E10000020,Norfolk,90122,11805,68425,32462,94948,65955,78146,23481,24709,31462,76524,6669,94085,28904
E07000143,Breckland,9494,56797,13036,34030,98149,8103,1608,62706,71473,79906,53999,28159,98235,977
E07000144,Broadland,43955,84932,5890,76249,83664,41890,23611,96955,22922,28759,97949,1051,85049,80718
E07000145,Great Yarmouth,62357,5409,13545,17591,64266,74850,15116,47336,14518,29792,49797,18996,45465,75907
E07000146,King's Lynn and West Norfolk,50061,3809,2326,71209,65702,91610,4413,3846,69008,84759,20129,41420,71250,17482
E07000147,North Norfolk,26004,28732,57164,94740,80115,89821,24615,73799,60625,29887,86141,50452,71866,67633
E07000148,Norwich,50880,51585,4914,40006,80765,54371,55659,5232,78827,50893,26803,73715,8187,44456
E07000149,South Norfolk,2874,44434,15789,68553,21209,57201,87422,29651,36271,15585,20682,64717,11413,31677
E10000029,Suffolk,58623,49070,22724,18343,60621,75404,55276,62470,44241,46374,83709,5921,72189,78828
E07000200,Babergh,26742,8267,12122,92693,4067,12571,5761,4795,40170,11691,26140,60605,40210,13279
E07000244,East Suffolk,84178,40425,80393,26926,33858,65786,66605,3799,93279,85655,31683,66396,37611,61296
E07000202,Ipswich,3525,4284,50867,54508,55557,5786,91489,34833,67781,1057,30712,59862,77328,87584
E07000203,Mid Suffolk,70344,32320,1703,22060,89183,63437,70818,20518,93275,92132,43610,62676,73757,75470
E07000245,West Suffolk,50771,37671,55032,20664,90609,38028,46550,54526,71460,16282,84881,667,20488,25449
E12000007,LONDON,63621,67441,8703,88384,68016,66788,7492,13172,40146,35171,25265,50830,33372,27731
E13000001,Inner London,79974,49187,68926,26393,40954,4975,18732,12573,25829,66644,18392,63733,80859,212
E09000007,Camden,14991,72165,44024,6249,72875,64813,75060,74239,15820,24884,14040,40291,19892,14602
E09000001,City of London,79289,5015,38129,17186,50304,68234,36239,71179,87867,32174,85423,92872,55976,42947
E09000012,Hackney,29875,29859,85101,86470,76300,67243,45953,1601,57114,47369,64278,92926,82550,4140
E09000013,Hammersmith and Fulham,34429,50694,19588,21099,63314,68067,29541,57704,62989,4516,2916,88395,66045,7704
E09000014,Haringey,83633,78229,86922,95040,5295,26530,53986,2680,68713,36935,22971,26704,28093,4203
E09000019,Islington,92586,18668,87663,29913,91008,81917,26079,99562,53360,40270,56171,88117,39623,28650
E09000020,Kensington and Chelsea,2063,22812,37852,54798,80647,3456,66551,34886,42219,94518,72010,47867,91907,82612
E09000022,Lambeth,64413,85133,91611,21455,78251,30973,26653,54036,83138,44984,41049,9216,76438,32672
E09000023,Lewisham,13439,47452,18857,53451,90533,47471,47837,96122,33599,47922,93207,79280,69096,85362
E09000025,Newham,11730,27211,83385,90514,60658,96000,46333,80517,95353,16311,97058,2051,96211,39126
E09000028,Southwark,27069,60804,62067,22657,18763,93352,30828,92705,20198,77313,63634,68619,84462,91931
E09000030,Tower Hamlets,67755,50222,37671,24589,48865,6583,70254,12735,96217,58545,51339,23892,66073,56680
E09000032,Wandsworth,45319,26551,76840,39715,25732,73051,38373,18077,41027,78059,81846,33273,87356,13195
E09000033,Westminster,1459,64178,2195,90382,42648,6066,98982,95577,56055,33932,7805,36940,76863,74246
E13000002,Outer London,60202,77316,68716,95020,59506,24416,53214,72752,91149,75167,96488,77700,69405,97384
E09000002,Barking and Dagenham,5382,811,55764,7551,28259,80027,49901,93722,52792,36679,93394,95640,168,3516
E09000003,Barnet,70226,71651,52624,66496,31703,19831,28718,73522,47587,78094,71838,1326,32314,74656
E09000004,Bexley,67216,25407,61336,10369,88354,81761,66307,14514,48466,97657,33165,66918,13542,55554
E09000005,Brent,63102,54012,95824,30810,40482,3063,2758,63722,99410,78178,54660,58256,36102,16223
E09000006,Bromley,63639,12962,69276,36949,61836,19610,46675,24678,1369,27532,38583,9449,54616,24645
E09000008,Croydon,88335,31058,75160,22253,43620,31477,9235,10792,82361,28137,15766,34663,26689,49028
E09000009,Ealing,8186,40321,2596,52460,12586,28983,27458,8164,80241,40534,69084,47130,52207,17476
E09000010,Enfield,82052,1640,46767,99884,49540,98679,24107,837,7990,12189,43067,14605,49909,86998
E09000011,Greenwich,26019,85749,42165,33400,95999,26184,49952,72352,83654,14719,23496,27505,64122,27100
E09000015,Harrow,24025,44235,5379,66640,17580,76475,9738,31354,15601,59792,40240,80616,54641,46916
E09000016,Havering,32110,88420,6973,62600,19479,69884,29822,21791,52083,80319,62154,59195,48948,96501
E09000017,Hillingdon,67239,57584,71205,60578,89099,31200,37010,6695,28763,63599,74235,57752,10510,62756
E09000018,Hounslow,75164,40288,4139,56677,48270,69175,84330,72428,55221,44062,52895,78900,2489,23800
E09000021,Kingston upon Thames,52023,28145,56197,71796,80784,2539,34582,96479,88683,71671,69488,70585,5678,59352
E09000024,Merton,67396,48498,43001,17890,80027,47942,53854,40595,1371,25296,31032,70086,50290,34777
E09000026,Redbridge,95303,25392,87896,66439,19735,58416,14348,13143,83114,41527,34743,76859,5705,94889
E09000027,Richmond upon Thames,30972,54343,62225,16171,70206,51835,58072,62788,43889,22929,65460,64408,91023,76066
E09000029,Sutton,50926,22070,52922,26131,58749,28962,49162,18222,90977,29948,95266,98449,34962,23297
E09000031,Waltham Forest,20119,64265,38123,15306,70121,67503,33531,35790,9135,71245,50259,74158,76764,53720
E12000008,SOUTH EAST,4155,62387,65197,65659,39512,84571,87265,20053,11586,36776,90913,29883,48209,40899
E06000036,Bracknell Forest,49362,48374,40560,97211,62472,38600,22942,4810,84716,57636,42991,32684,88344,50824
E06000043,Brighton and Hove,33894,786,63141,25609,17791,47650,39864,6188,72308,79235,42605,26779,18140,50621
