Area Code,Area Name,Economically active (including full-time students): In employment: Employee,Economically active (including full-time students): In employment: Self-employed,Economically active (including full-time students): Unemployed,Economically inactive: Retired,Economically inactive (including full-time students): Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E08000005,Rochdale,3955,19429,52723,91367,76488,55700,79111,38628
E08000006,Salford,67931,91681,10211,42612,47922,10008,64057,62867
E08000007,Stockport,54811,72257,64582,85771,88543,61281,66466,2528
E08000008,Tameside,56583,20671,85484,65221,31671,8339,84355,66483
E08000009,Trafford,711,59465,20396,78050,88114,33161,99265,70712
E08000010,Wigan,20757,73196,65663,90706,41535,42111,8013,8589
E10000017,Lancashire,63061,70867,72086,5851,6896,29998,22829,96954
E07000117,Burnley,43982,51834,59147,80595,98927,2998,96358,72152
E07000118,Chorley,81960,81765,92641,71643,90285,81358,64251,81332
E07000119,Fylde,68715,31851,316,9048,77579,98124,72199,10231
E07000120,Hyndburn,89294,60437,41374,55342,90767,74563,93771,10535
E07000121,Lancaster,39971,86994,40638,14608,36101,52034,25623,31111
E07000122,Pendle,15601,20009,10715,75619,38565,88257,98360,533
E07000123,Preston,32844,59838,17856,27193,95982,99952,22400,54586
E07000124,Ribble Valley,57805,7628,17998,35077,89760,54166,72784,37100
E07000125,Rossendale,11957,16796,35521,9302,88695,86021,19109,18448
E07000126,South Ribble,1313,73583,46106,35993,30861,20243,94041,53650
E07000127,West Lancashire,86994,49910,49202,5665,43618,57575,14987,27986
E07000128,Wyre,63914,83741,13446,8091,49841,29563,66239,97522
E11000002,Merseyside (Met County),16138,92247,7167,28803,44358,87308,61301,8935
E08000011,Knowsley,20495,97463,96576,67836,81030,90551,11511,49864
E08000012,Liverpool,90312,13508,4299,57322,87739,93984,93256,82581
E08000014,Sefton,24699,99167,29480,45922,13088,15142,57456,21734
E08000013,St. Helens,96826,37981,75261,70843,46014,77163,92665,12278
E08000015,Wirral,18618,29873,34826,52931,79732,41065,12733,26887
E12000003,YORKSHIRE AND THE HUMBER,60464,94330,43215,45952,15537,96345,72950,30844
E06000011,East Riding of Yorkshire,15112,43775,15801,15591,32241,29575,17737,93425
E06000010,"Kingston upon Hull, City of",60342,90585,35492,36461,92493,23280,74875,25204
E06000012,North East Lincolnshire,89337,27676,74717,32062,42480,59255,10059,56937
E06000013,North Lincolnshire,73458,1512,74375,70479,37041,8003,57406,54525
E06000014,York,2887,18266,5461,98060,19833,94813,59046,94108
E10000023,North Yorkshire,16850,98799,54419,72618,2049,43927,74787,33106
E07000163,Craven,9429,26078,18196,37992,88296,21360,66403,64297
E07000164,Hambleton,42077,85750,64622,59683,90495,39476,47389,81473
E07000165,Harrogate,89967,83868,62146,87927,98923,46566,10081,9858
E07000166,Richmondshire,20897,38026,76655,91266,13863,16745,70249,86730
E07000167,Ryedale,10361,30263,26568,10603,28308,21926,69561,90585
E07000168,Scarborough,56924,44458,26139,84709,62659,57815,52847,83213
E07000169,Selby,38082,24535,89903,70865,14807,24851,27598,38640
E11000003,South Yorkshire (Met County),21803,6438,559,66203,53853,54463,86417,6274
E08000016,Barnsley,44979,17014,4964,39929,7146,68432,69504,37960
E08000017,Doncaster,27100,49920,54343,56770,80746,87795,49661,14724
E08000018,Rotherham,84502,52765,2088,24545,90940,97390,700,75075
E08000019,Sheffield,46963,8338,20659,15066,24747,57884,89744,1490
E11000006,West Yorkshire (Met County),66689,81304,13226,20779,6023,44257,76516,21280
E08000032,Bradford,3725,121,4451,20343,67352,25425,40726,24703
E08000033,Calderdale,56612,91172,25308,89121,30196,22352,75053,97477
E08000034,Kirklees,20196,99501,4684,47068,94719,83775,77588,54087
E08000035,Leeds,27884,58870,56238,93152,88634,52584,88402,31325
E08000036,Wakefield,22422,60930,90267,39237,19575,25726,32714,96369
E12000004,EAST MIDLANDS,25008,60079,40857,19457,76934,20456,22974,27081
E06000015,Derby,90503,12824,97071,92398,46200,86149,79869,63850
E06000016,Leicester,30927,1687,87531,87617,8118,65622,56631,50845
E06000061,North Northamptonshire,10082,72859,81714,55861,6681,55175,53583,21561
E06000018,Nottingham,80848,89239,18357,50869,77975,4681,31800,3192
E06000017,Rutland,57599,77049,40895,88320,4140,1498,62567,84058
E06000062,West Northamptonshire,77073,30908,52130,84557,85093,10329,93411,87283
E10000007,Derbyshire,72578,48593,8950,96870,75526,46238,33952,88749
E07000032,Amber Valley,61389,76538,28693,76796,35509,32674,42166,80206
E07000033,Bolsover,89757,63603,97104,58564,10113,62378,7273,20925
E07000034,Chesterfield,38791,49096,84440,20872,96320,74903,31328,28209
E07000035,Derbyshire Dales,83301,9129,89906,54040,66314,63815,81674,19033
E07000036,Erewash,53179,86831,41477,88949,16452,95001,90358,71152
E07000037,High Peak,37644,26082,45473,27245,28111,74478,96102,3183
E07000038,North East Derbyshire,13059,52618,5917,54017,74002,3859,32935,21328
E07000039,South Derbyshire,83721,41136,45370,1675,47049,65315,68384,29655
E10000018,Leicestershire,68666,13207,27407,50185,25909,80225,77317,34698
E07000129,Blaby,91706,93416,72578,17558,8446,1336,92471,58449
E07000130,Charnwood,64919,66396,830,22178,14498,72327,71471,44866
E07000131,Harborough,97108,12865,62450,68856,55359,36930,59648,32535
E07000132,Hinckley and Bosworth,70322,48432,34661,62407,11630,97313,81472,51478
E07000133,Melton,7926,50874,40579,7250,37861,8203,4895,88260
E07000134,North West Leicestershire,15234,65235,22670,16949,42354,6490,31226,25355
E07000135,Oadby and Wigston,73561,42004,7230,86109,23637,95206,27906,39377
E10000019,Lincolnshire,14358,38918,23138,44561,29907,11087,98973,73389
E07000136,Boston,98694,26095,35896,78532,9089,80377,4714,54074
E07000137,East Lindsey,42703,3803,9546,89161,91354,15700,84103,69654
E07000138,Lincoln,91854,55484,95517,57889,13639,60775,693,32936
E07000139,North Kesteven,74567,22171,25292,1709,5119,8480,92945,72672
E07000140,South Holland,7617,60605,78259,78161,52998,4653,73944,58645
E07000141,South Kesteven,34646,39079,67997,75597,2457,19786,82314,16575
E07000142,West Lindsey,93285,12022,72299,78104,99505,31531,14105,20079
E10000024,Nottinghamshire,96678,71974,53330,81893,75985,71614,21883,88541
E07000170,Ashfield,61719,92806,86873,74589,99801,57423,27009,47319
E07000171,Bassetlaw,70249,136,20135,71416,39473,71732,27536,98652
E07000172,Broxtowe,85650,27313,66208,83568,56708,1594,27093,44407
E07000173,Gedling,71056,68589,94810,11216,85272,63679,3525,96085
E07000174,Mansfield,61377,32733,96170,8207,53696,82736,61915,77511
E07000175,Newark and Sherwood,52332,49443,94499,91773,26318,66361,32308,71684
E07000176,Rushcliffe,32759,35254,80710,65122,14748,18572,81525,12292
E12000005,WEST MIDLANDS,98085,55762,12218,39112,53477,55713,62240,59241
E06000019,"Herefordshire, County of",92800,50395,72684,84133,10287,1004,20662,2708
E06000051,Shropshire,65858,29878,42231,59973,17450,45859,52363,91318
E06000021,Stoke-on-Trent,85538,70037,76932,28929,53139,39331,95913,57467
E06000020,Telford and Wrekin,75355,31893,70575,76054,61313,10625,13500,50883
E10000028,Staffordshire,393,55355,25919,67160,71226,12819,85345,97408
E07000192,Cannock Chase,50302,14964,4421,96011,38446,13547,72926,5875
E07000193,East Staffordshire,5285,43766,79051,52829,59812,77325,23207,60850
E07000194,Lichfield,14878,57473,71641,85233,71412,37856,25662,14126
E07000195,Newcastle-under-Lyme,50098,29920,77133,89826,60013,90604,63960,89021
E07000196,South Staffordshire,91648,55334,37114,76400,10805,26235,59442,40155
E07000197,Stafford,96599,74544,42223,44126,25885,14205,36392,47392
E07000198,Staffordshire Moorlands,72740,20324,58819,59928,29089,92665,60211,21448
E07000199,Tamworth,2650,33371,68561,62391,81481,50515,1879,36136
E10000031,Warwickshire,54879,92835,71654,27846,96001,35331,7260,61628
E07000218,North Warwickshire,5605,65243,67032,37786,52849,50690,15978,68313
E07000219,Nuneaton and Bedworth,27490,40747,63992,9918,84654,91527,76455,90540
E07000220,Rugby,70877,94911,2844,95601,57861,36837,1788,20598
E07000221,Stratford-on-Avon,27838,10214,56217,29326,60978,71980,83614,1957
E07000222,Warwick,1110,18032,74097,10459,3520,79045,58203,90542
E11000005,West Midlands (Met County),8848,1551,58100,92356,92268,70155,87530,79540
E08000025,Birmingham,55286,64943,17305,71414,20588,88269,50435,46015
E08000026,Coventry,81065,75915,52755,54734,45409,7031,45049,86348
E08000027,Dudley,61451,63196,59495,61899,27200,61512,65413,33923
E08000028,Sandwell,78886,7301,55384,12732,70064,78383,18770,22388
E08000029,Solihull,14316,11120,55938,69620,67758,24734,69242,14688
E08000030,Walsall,28757,33174,3284,91716,76836,38898,94083,89252
E08000031,Wolverhampton,45207,9391,33328,86824,94864,99857,84604,33576
E10000034,Worcestershire,42412,1171,13383,52424,8511,61984,85646,20434
E07000234,Bromsgrove,43417,28589,2366,73554,29308,5877,39032,39001
E07000235,Malvern Hills,19113,41763,60394,83725,59275,96223,90895,60725
E07000236,Redditch,11983,87835,26787,51758,34591,34008,53827,69420
E07000237,Worcester,37157,32288,37053,15459,90464,26950,3683,62778
E07000238,Wychavon,28018,95792,20343,32138,43890,27447,64843,66753
E07000239,Wyre Forest,70190,4711,12288,34707,80389,68451,20398,66687
E12000006,East of England,84863,7201,47733,23197,46519,89828,71502,21007
E06000055,Bedford,69842,83307,59603,96041,65499,72207,3371,67135
E06000056,Central Bedfordshire,58383,61370,33888,57096,98589,300,15324,4561
E06000032,Luton,40119,3297,58479,62699,35738,2365,12994,36058
E06000031,Peterborough,18263,51322,50365,98408,72040,97961,73729,67775
E06000033,Southend-on-Sea,62864,3405,52924,94335,1500,61248,65600,86296
E06000034,Thurrock,87758,51375,29020,55689,23902,56034,24682,84246
E10000003,Cambridgeshire,23750,15188,46559,80355,23611,12268,62730,7288
E07000008,Cambridge,22154,15761,87877,30437,52253,33343,13377,58514
E07000009,East Cambridgeshire,38708,28627,41153,85372,54231,75443,46929,10484
E07000010,Fenland,37103,62895,3732,98136,2614,89144,29463,91440
E07000011,Huntingdonshire,66920,27750,66883,97775,99467,30004,34392,25780
E07000012,South Cambridgeshire,59626,50860,11897,60102,60247,87734,46251,18161
E10000012,Essex,21082,68208,13184,82883,60078,81985,68904,58247
E07000066,Basildon,22989,7579,1985,56112,59432,34974,23281,98737
E07000067,Braintree,27648,50251,76261,93740,75265,2837,84320,94206
E07000068,Brentwood,50397,97015,56313,61553,52352,40487,44594,64812
E07000069,Castle Point,37713,13977,26396,6908,44082,15127,27100,42752
E07000070,Chelmsford,77856,56555,90852,13191,57913,79272,35307,43787
E07000071,Colchester,23178,66889,61156,94864,9943,52748,10502,82906
E07000072,Epping Forest,35689,42616,51415,60321,37836,75766,14078,57151
E07000073,Harlow,95483,27940,14056,53000,50168,9571,76902,12159
E07000074,Maldon,32243,39178,33232,92543,74064,49681,73900,42069
E07000075,Rochford,56514,22859,18121,63167,37039,70669,45345,65040
E07000076,Tendring,61654,36079,76316,35503,65436,31025,37535,31635
E07000077,Uttlesford,46333,42909,15668,99605,78626,12872,30414,78890
E10000015,Hertfordshire,31868,21643,50539,18481,35950,54227,29528,92579
E07000095,Broxbourne,9632,24781,44618,76957,74741,59523,76447,21597
E07000096,Dacorum,90059,90578,32395,57895,29673,31707,34256,70199
E07000242,East Hertfordshire,84869,65602,71828,47179,18398,17617,21658,17946
E07000098,Hertsmere,13801,3011,53495,6112,60211,36173,41246,52210
E07000099,North Hertfordshire,24441,42205,52412,20276,53632,39993,6424,79432
E07000240,St Albans,84574,39639,38459,62672,58859,5650,75065,37028
E07000243,Stevenage,72246,90817,35168,74859,55384,93464,61751,94828
E07000102,Three Rivers,81116,33352,36366,19446,82374,37668,84566,41250
E07000103,Watford,61394,17948,56001,82300,1381,62664,39923,45624
E07000241,Welwyn Hatfield,71338,46775,21268,8788,462,1073,48400,65839
E10000020,Norfolk,70379,22035,8159,73523,24722,82965,9799,99151
E07000143,Breckland,56865,40384,12357,32761,93939,2296,26868,46400
E07000144,Broadland,89263,45149,5435,81042,77285,72456,58853,71742
E07000145,Great Yarmouth,18865,61526,30074,53649,89451,56534,49236,81994
E07000146,King's Lynn and West Norfolk,810,11771,64262,80066,8999,85259,86300,36548
E07000147,North Norfolk,39779,56800,86997,35020,560,39359,14468,35176
E07000148,Norwich,26639,88909,73676,17516,1471,15491,83342,37411
E07000149,South Norfolk,98444,92011,78943,30977,86587,83264,78356,67747
E10000029,Suffolk,31292,517,3859,4306,50434,43601,38267,95094
E07000200,Babergh,87708,72885,88589,80092,86335,43506,13522,53397
E07000244,East Suffolk,88578,45673,25246,90435,9681,5826,60052,5962
E07000202,Ipswich,51869,74411,12641,37724,66122,33905,56525,75366
E07000203,Mid Suffolk,94902,10098,13645,95947,63832,75303,38163,72033
E07000245,West Suffolk,99609,99219,96219,15564,20832,69682,73729,68748
E12000007,LONDON,79672,94067,8136,2376,18381,6815,91848,8598
E13000001,Inner London,28241,85013,13381,67608,88765,87119,91063,6139
E09000007,Camden,17356,61554,24743,67815,60701,32755,95614,86460
E09000001,City of London,31841,3035,32759,34002,22809,36781,65321,72066
E09000012,Hackney,73957,47435,8853,86520,31442,82351,84464,48888
E09000013,Hammersmith and Fulham,54093,63618,60520,52965,77549,2736,11913,63841
E09000014,Haringey,43181,35718,27893,49671,3392,13735,80887,38824
E09000019,Islington,52054,51369,19652,20904,39504,20643,56713,4908
E09000020,Kensington and Chelsea,60777,58843,26025,81251,44814,30184,56383,53463
E09000022,Lambeth,62598,88088,66301,9929,48343,63054,48406,72124
E09000023,Lewisham,55731,37260,5322,91581,66835,80342,85549,83670
E09000025,Newham,44893,38270,16443,46189,18297,66236,68935,62199
E09000028,Southwark,35687,53727,75371,68118,75245,21146,7826,45778
E09000030,Tower Hamlets,24138,72862,30366,53862,33013,23375,20653,64892
E09000032,Wandsworth,61081,49210,2711,82375,19760,31257,61598,12016
E09000033,Westminster,82639,13548,27052,39541,40899,53255,85837,54776
E13000002,Outer London,90072,50935,16880,14159,27976,2537,62860,56738
E09000002,Barking and Dagenham,95686,22529,94275,90861,84763,49313,83776,37653
E09000003,Barnet,10517,25086,11089,5482,40653,20693,46808,54234
E09000004,Bexley,11073,58360,63249,91805,97282,27522,82568,77250
E09000005,Brent,8413,31079,12188,48619,71774,30750,32784,87065
E09000006,Bromley,58890,35800,25129,75126,2879,98852,66044,63262
E09000008,Croydon,35743,72605,17123,43594,90955,20921,66447,92246
E09000009,Ealing,84902,33694,31330,78046,49300,45153,46804,34926
E09000010,Enfield,44296,99937,58678,53631,84274,22282,30597,30035
E09000011,Greenwich,2574,39700,63811,14053,87269,29468,62229,16338
E09000015,Harrow,49862,33559,40809,88540,53838,99572,86934,31663
E09000016,Havering,1338,43867,82592,74344,92956,29032,4137,13442
E09000017,Hillingdon,62472,80523,96410,33398,75185,25334,44440,50554
E09000018,Hounslow,93244,52263,1113,85380,30852,13340,40267,57701
E09000021,Kingston upon Thames,2132,66335,3123,16539,70847,14180,72992,49386
E09000024,Merton,58597,29910,63572,91883,27882,59549,12289,28422
E09000026,Redbridge,94431,47738,43764,84511,38833,13711,24684,3433
E09000027,Richmond upon Thames,80238,3410,96067,39699,71216,80095,29673,80040
E09000029,Sutton,92611,32156,99786,82554,78473,30674,23228,66361
E09000031,Waltham Forest,95610,97079,12487,86485,79462,49978,65573,3197
E12000008,SOUTH EAST,3958,38340,74946,56197,9490,62250,43841,67177
E06000036,Bracknell Forest,40058,30339,46208,66653,25885,79632,36839,20516
E06000043,Brighton and Hove,66102,17248,44483,31100,48415,74998,53837,48182
E06000046,Isle of Wight,10306,68251,62378,69719,23400,35088,40783,53337
E06000035,Medway,69442,83189,76318,39957,95842,43252,75583,65477
E06000042,Milton Keynes,22990,40276,57406,29625,10804,682,15424,16628
E06000044,Portsmouth,26679,20766,15263,75764,3669,4109,62753,7828
E06000038,Reading,88804,97949,99127,9799,55282,72884,93224,51446
E06000039,Slough,15040,89462,12376,3764,89532,26167,10713,78510
E06000045,Southampton,14254,84164,55091,87756,1376,86107,6566,10961
E06000037,West Berkshire,78633,96781,41416,25217,32400,10530,86846,38164
E06000040,Windsor and Maidenhead,59500,47820,16757,33636,44148,94941,20946,63016
E06000041,Wokingham,79363,60415,25250,6885,77041,56174,52044,52086
E06000060,Buckinghamshire,55439,31421,62919,30594,65414,2626,28455,53503
E10000011,East Sussex,84481,77254,96772,41709,57951,78328,1203,73571
E07000061,Eastbourne,42602,15522,78181,4784,59564,93001,35911,94502
E07000062,Hastings,82753,95754,33771,72073,66642,3958,3773,20451
E07000063,Lewes,34089,56444,26232,35809,20489,73230,99316,49559
E07000064,Rother,58039,24642,91505,86036,17155,18055,32227,34330
E07000065,Wealden,57500,52487,9436,17340,8248,45557,92474,70840
E10000014,Hampshire,8145,53338,75525,82638,8682,60907,21913,68213
E07000084,Basingstoke and Deane,62927,97557,36428,48048,21192,82192,17237,5599
E07000085,East Hampshire,64594,13615,5215,47409,36820,50305,89865,59982
E07000086,Eastleigh,80569,47924,56340,46926,77539,36685,39622,59222
E07000087,Fareham,99437,94700,37412,51389,9801,75418,82208,87875
E07000088,Gosport,93951,96121,46857,79279,56479,96119,49738,36431
E07000089,Hart,27985,97238,50732,68062,82125,64092,71327,65446
E07000090,Havant,79342,49469,30269,22425,18300,6448,35239,57349
E07000091,New Forest,95296,99814,79629,39972,68328,40979,19512,5659
E07000092,Rushmoor,3224,59051,15838,90563,26355,82045,71849,92592
E07000093,Test Valley,47886,85693,94054,16323,42733,58349,32190,83318
E07000094,Winchester,34641,39536,80332,50224,92578,22545,26354,33644
E10000016,Kent,42400,56891,66870,97462,32640,13188,72590,23771
E07000105,Ashford,17215,76261,54754,59391,74758,51441,53101,99624
E07000106,Canterbury,17731,18482,36729,51261,352,73258,15869,7233
E07000107,Dartford,39708,4293,28543,55607,43281,41712,37153,50856
E07000108,Dover,96767,57741,62428,51875,19424,49415,81104,19780
E07000109,Gravesham,3159,17884,75563,84697,84383,17625,40607,77926
E07000110,Maidstone,83115,60761,6566,1796,98407,20585,76130,38540
E07000111,Sevenoaks,78396,35302,15666,27128,52167,25077,32140,62992
E07000112,Folkestone and Hythe,44735,29235,71839,86547,18736,48140,86289,89628
E07000113,Swale,2640,9787,15744,93132,17293,59118,85085,85124
E07000114,Thanet,10814,80624,58710,46197,92894,38416,94307,50746
E07000115,Tonbridge and Malling,54502,94734,13267,3342,28671,5499,69547,2877
E07000116,Tunbridge Wells,44419,73357,34578,15648,51190,25564,13617,29451
E10000025,Oxfordshire,1786,2904,4175,43672,47711,15161,51021,32541
E07000177,Cherwell,32920,23034,45175,35184,34810,32275,43931,73814
E07000178,Oxford,67355,31660,13836,92010,25499,35176,97333,2894
E07000179,South Oxfordshire,17257,77270,15121,44603,33208,95859,11558,53927
E07000180,Vale of White Horse,40244,22062,7514,61878,92908,7599,52239,77696
E07000181,West Oxfordshire,48952,48077,66949,31287,77409,68108,9022,15325
E10000030,Surrey,85274,37018,65301,53102,52425,66176,47710,22388
E07000207,Elmbridge,84041,67368,77518,67374,72158,98060,92964,22663
E07000208,Epsom and Ewell,29039,90185,89231,59114,29375,44493,74912,46553
E07000209,Guildford,65367,38787,48007,82074,71187,43107,63851,39660
E07000210,Mole Valley,5488,86751,38192,29599,22151,37986,50093,13823
E07000211,Reigate and Banstead,78251,65854,66855,16573,31094,96751,77078,35247
E07000212,Runnymede,96970,36736,83611,58746,49409,83235,10290,42122
E07000213,Spelthorne,30032,22303,3260,88446,72051,90837,60167,8345
E07000214,Surrey Heath,62013,51391,47532,33812,60083,94100,29089,48963
E07000215,Tandridge,16686,19294,55074,35154,54433,92471,98869,62007
E07000216,Waverley,71420,37010,84900,28602,32923,26914,95968,18062
E07000217,Woking,21581,18464,74794,58454,77557,77367,4877,86801
E10000032,West Sussex,74155,77435,70262,23869,26538,19720,53124,74512
E07000223,Adur,96044,8438,27050,84098,46527,38869,27501,18616
E07000224,Arun,23214,28567,14049,81034,89549,83694,79914,56186
E07000225,Chichester,27570,15346,63064,33386,24544,45888,48845,60964
E07000226,Crawley,38307,5122,88247,27589,40811,47095,65121,90132
E07000227,Horsham,78440,76067,34276,87066,74311,71830,6704,14647
E07000228,Mid Sussex,27377,1853,32283,94180,64486,31548,79009,88436
E07000229,Worthing,90726,19765,60373,98621,77230,96753,22224,40703
E12000009,SOUTH WEST,32946,93338,38433,59502,45631,96557,8108,40548
E06000022,Bath and North East Somerset,97923,19243,35028,68443,69541,92982,29005,34159
E06000058,"Bournemouth, Christchurch and Poole",89317,91963,2627,96025,89306,11489,61882,16333
E06000023,"Bristol, City of",93743,96308,82874,68082,24370,95043,56624,55921
E06000052,Cornwall,58273,7525,80343,73617,64729,99935,12920,65979
E06000053,Isles of Scilly,8366,38609,26667,91249,51424,9711,56884,77448
E06000059,Dorset,3066,38828,22768,19671,97023,12565,91031,33604
E06000024,North Somerset,32277,94000,3488,84305,59365,88875,36630,57164
E06000026,Plymouth,78584,85631,8162,62643,40129,22688,94210,26847
E06000025,South Gloucestershire,89546,98179,14015,11934,57220,13603,61827,48201
E06000030,Swindon,33966,60741,93177,20107,52614,46783,7677,51266
E06000027,Torbay,87326,78552,90659,2339,47233,72866,86362,76876
E06000054,Wiltshire,10603,20563,5114,32134,52643,19916,89721,61762
E10000008,Devon,40504,25492,46958,97238,10663,33050,64393,19490
E07000040,East Devon,54436,36506,39646,19891,4420,69611,63440,11478
E07000041,Exeter,58314,12300,24623,2808,77751,94992,68056,78632
E07000042,Mid Devon,83526,95828,85210,51738,62507,62733,14427,36017
E07000043,North Devon,65633,96509,58906,54127,77333,80601,84760,42422
E07000044,South Hams,90466,685,42934,87689,90143,97200,52366,95462
E07000045,Teignbridge,56029,3104,45795,92916,91173,90665,8406,35227
E07000046,Torridge,40848,36981,67975,89655,34957,55155,45279,62436
E07000047,West Devon,83790,69303,4218,38640,22821,48526,80681,24620
E10000013,Gloucestershire,19210,9219,5937,59427,85624,81266,44922,96116
E07000078,Cheltenham,52792,17018,51187,78127,51426,5803,89887,76722
E07000079,Cotswold,23681,48098,16590,49053,34369,3929,22364,30875
E07000080,Forest of Dean,79935,16267,49862,98552,14121,5776,24097,63123
E07000081,Gloucester,32989,16090,61202,47544,40101,96204,24966,8966
E07000082,Stroud,37176,8198,49503,67265,76507,18555,37766,88774
E07000083,Tewkesbury,21716,19476,6112,4463,86773,92667,34729,38323
E10000027,Somerset,45474,99944,49862,92165,1020,19938,98156,75178
E07000187,Mendip,58165,78850,19851,322,60339,93689,13439,67585
E07000188,Sedgemoor,30680,54916,76915,24490,14719,34973,66247,67849
E07000246,Somerset West and Taunton,85263,24420,96134,42793,424,66265,46372,46444
E07000189,South Somerset,58124,43568,47257,929,24698,92250,17904,45925
W92000004,WALES,8695,45838,88053,38986,93565,99563,24195,64493
W06000001,Isle of Anglesey,42446,85141,30706,11041,36397,74321,29476,14090
W06000002,Gwynedd,90852,75203,39412,63485,52175,18245,96591,40477
W06000003,Conwy,4048,95449,75755,95029,82265,33378,74139,69036
W06000004,Denbighshire,74513,38315,85615,43423,43348,17402,30323,28984
W06000005,Flintshire,34144,22261,21515,35092,8636,83378,27911,18478
W06000006,Wrexham,91942,32877,15931,26615,95495,94650,61815,23523
W06000023,Powys,28644,80885,11142,43539,16760,42580,21812,61861
W06000008,Ceredigion,25561,96898,81880,78631,78475,34147,98073,84786
W06000009,Pembrokeshire,68534,92885,7550,54375,24975,24275,94768,54003
W06000010,Carmarthenshire,22594,2193,16642,42253,43389,50964,53375,65097
W06000011,Swansea,86381,37640,33266,29916,62327,60920,14302,56419
W06000012,Neath Port Talbot,47439,49133,95751,46062,52597,19719,14819,34341
W06000013,Bridgend,70659,31029,59889,9094,6396,3490,32280,1340
W06000014,Vale of Glamorgan,70312,543,57198,72187,77360,51373,54177,27734
W06000015,Cardiff,37724,71350,64622,56577,27795,34636,7793,83794
W06000016,Rhondda Cynon Taf,48897,77976,3764,90636,33430,51565,12202,70808
W06000024,Merthyr Tydfil,10204,60371,80117,46074,49394,90611,11837,94822
W06000018,Caerphilly,65008,2534,32939,79607,10384,88399,65825,17240
W06000019,Blaenau Gwent,32917,77597,24379,51112,96944,10084,4184,49230
W06000020,Torfaen,68470,96154,67025,78807,48665,17147,59475,27298
W06000021,Monmouthshire,9171,45158,38324,72700,43235,18624,18015,29379
W06000022,Newport,37758,89069,38976,57651,87279,62974,71601,67465
